Date,Clicks,Impressions,CTR,Position
2024-12-31,14,1252,0.0112,6.28
2024-12-30,21,1472,0.0143,6.15
2024-12-29,21,1487,0.0141,6.46
2024-12-28,40,1426,0.0281,6.68
2024-12-27,18,1408,0.0128,6.99
2024-12-26,33,1630,0.0202,6.54
2024-12-25,22,1684,0.0131,6.44
2024-12-24,21,1564,0.0134,6.29
2024-12-23,23,1525,0.0151,6.44
2024-12-22,25,1492,0.0168,6.47
2024-12-21,36,1404,0.0256,6.42
2024-12-20,23,1396,0.0165,6.34
2024-12-19,39,1599,0.0244,6.3
2024-12-18,37,1898,0.0195,6.38
2024-12-17,41,1809,0.0227,6.98
2024-12-16,30,1906,0.0157,6.28
2024-12-15,35,1831,0.0191,6.07
2024-12-14,27,1301,0.0208,6.58
2024-12-13,28,1437,0.0195,6.69
2024-12-12,38,1915,0.0198,6.19
2024-12-11,55,2069,0.0266,6.33
2024-12-10,63,2473,0.0255,6.12
2024-12-09,65,2438,0.0267,6.18
2024-12-08,60,2236,0.0268,6.0
2024-12-07,35,1546,0.0226,6.54
2024-12-06,31,1572,0.0197,6.5
2024-12-05,72,2439,0.0295,6.27
2024-12-04,80,2392,0.0334,6.23
2024-12-03,44,2364,0.0186,6.28
2024-12-02,79,2469,0.032,6.15
2024-12-01,67,2327,0.0288,6.07
2024-11-30,28,1576,0.0178,6.47
2024-11-29,29,1496,0.0194,6.35
2024-11-28,69,2401,0.0287,6.41
2024-11-27,67,2367,0.0283,6.28
2024-11-26,68,2412,0.0282,6.3
2024-11-25,85,2616,0.0325,6.13
2024-11-24,63,2304,0.0273,6.5
2024-11-23,29,1531,0.0189,6.85
2024-11-22,35,1734,0.0202,6.89
2024-11-21,57,2265,0.0252,6.84
2024-11-20,76,2481,0.0306,6.44
2024-11-19,76,2617,0.029,6.26
2024-11-18,49,2610,0.0188,6.33
2024-11-17,65,2391,0.0272,6.78
2024-11-16,29,1732,0.0167,7.17
2024-11-15,32,1756,0.0182,8.14
2024-11-14,48,2433,0.0197,8.39
2024-11-13,58,2355,0.0246,7.25
2024-11-12,61,2419,0.0252,7.23
2024-11-11,47,2416,0.0195,6.92
2024-11-10,67,2398,0.0279,6.89
2024-11-09,44,1888,0.0233,6.76
2024-11-08,39,1808,0.0216,6.68
2024-11-07,56,2337,0.024,7.04
2024-11-06,50,2639,0.0189,6.79
2024-11-05,67,2513,0.0267,6.76
2024-11-04,96,2464,0.039,6.57
2024-11-03,71,2459,0.0289,6.49
2024-11-02,31,1739,0.0178,6.99
2024-11-01,34,1742,0.0195,6.6
2024-10-31,72,2387,0.0302,6.63
2024-10-30,68,2541,0.0268,6.51
2024-10-29,89,2654,0.0335,6.34
2024-10-28,83,2563,0.0324,6.15
2024-10-27,62,2379,0.0261,6.3
2024-10-26,29,1633,0.0178,6.8
2024-10-25,41,1927,0.0213,6.65
2024-10-24,73,2463,0.0296,6.4
2024-10-23,49,2227,0.022,6.57
2024-10-22,54,2377,0.0227,6.51
2024-10-21,74,2391,0.0309,6.46
2024-10-20,51,2150,0.0237,6.66
2024-10-19,53,1774,0.0299,6.72
2024-10-18,33,1697,0.0194,7.19
2024-10-17,67,2603,0.0257,6.45
2024-10-16,64,2479,0.0258,6.84
2024-10-15,63,2514,0.0251,6.48
2024-10-14,61,2523,0.0242,6.89
2024-10-13,48,2384,0.0201,6.82
2024-10-12,44,1840,0.0239,7.47
2024-10-11,54,2251,0.024,7.04
2024-10-10,61,2502,0.0244,6.78
2024-10-09,93,2726,0.0341,6.8
2024-10-08,69,2514,0.0274,6.4
2024-10-07,56,2426,0.0231,6.93
2024-10-06,46,2018,0.0228,6.43
2024-10-05,41,1729,0.0237,6.48
2024-10-04,29,1457,0.0199,6.76
2024-10-03,32,1504,0.0213,7.13
2024-10-02,26,1355,0.0192,7.08
2024-10-01,33,1453,0.0227,6.83
2024-09-30,23,1552,0.0148,7.18
2024-09-29,42,1823,0.023,6.96
2024-09-28,34,1725,0.0197,7.09
2024-09-27,26,1547,0.0168,6.99
2024-09-26,44,2059,0.0214,6.88
2024-09-25,49,2302,0.0213,6.89
2024-09-24,50,2297,0.0218,7.01
2024-09-23,48,2256,0.0213,6.79
2024-09-22,57,2131,0.0267,6.26
2024-09-21,34,1637,0.0208,7.71
2024-09-20,26,1904,0.0137,6.96
2024-09-19,41,2439,0.0168,6.71
2024-09-18,42,2360,0.0178,6.74
2024-09-17,44,2111,0.0208,7.21
2024-09-16,31,1503,0.0206,7.2
2024-09-15,15,1469,0.0102,6.93
2024-09-14,27,1489,0.0181,6.69
2024-09-13,27,1596,0.0169,6.55
2024-09-12,45,2112,0.0213,6.52
2024-09-11,37,1930,0.0192,6.72
2024-09-10,52,2133,0.0244,6.53
2024-09-09,43,2016,0.0213,6.24
2024-09-08,48,1949,0.0246,6.15
2024-09-07,31,1434,0.0216,6.43
2024-09-06,29,1607,0.018,6.39
2024-09-05,39,2106,0.0185,6.37
2024-09-04,56,2189,0.0256,6.55
2024-09-03,35,2071,0.0169,6.52
2024-09-02,34,2081,0.0163,6.2
2024-09-01,28,1896,0.0148,6.52
2024-08-31,35,1620,0.0216,6.14
2024-08-30,20,1463,0.0137,6.6
2024-08-29,50,2066,0.0242,6.37
2024-08-28,37,1939,0.0191,6.92
2024-08-27,38,1948,0.0195,6.51
2024-08-26,43,1846,0.0233,6.74
2024-08-25,26,1710,0.0152,6.86
2024-08-24,37,1503,0.0246,7.06
2024-08-23,14,1569,0.0089,7.19
2024-08-22,34,1806,0.0188,7.21
2024-08-21,33,1812,0.0182,6.66
2024-08-20,41,1859,0.0221,6.82
2024-08-19,29,2004,0.0145,7.12
2024-08-18,31,1876,0.0165,6.51
2024-08-17,22,1469,0.015,6.51
2024-08-16,28,1502,0.0186,6.46
2024-08-15,52,2071,0.0251,7.03
2024-08-14,45,2170,0.0207,6.7
2024-08-13,31,2062,0.015,7.09
2024-08-12,39,2109,0.0185,6.91
2024-08-11,25,1974,0.0127,7.29
2024-08-10,35,1782,0.0196,7.52
2024-08-09,34,1842,0.0185,7.38
2024-08-08,50,2164,0.0231,6.94
2024-08-07,53,2090,0.0254,8.23
2024-08-06,30,2101,0.0143,8.22
2024-08-05,36,2005,0.018,8.59
2024-08-04,33,1999,0.0165,8.96
2024-08-03,21,1472,0.0143,7.77
2024-08-02,21,1795,0.0117,7.55
2024-08-01,26,1985,0.0131,7.46
2024-07-31,31,2155,0.0144,8.01
2024-07-30,28,2109,0.0133,8.06
2024-07-29,32,2187,0.0146,7.63
2024-07-28,36,2052,0.0175,7.44
2024-07-27,34,1906,0.0178,7.13
2024-07-26,39,2061,0.0189,7.78
2024-07-25,30,2127,0.0141,7.82
2024-07-24,36,2153,0.0167,7.55
2024-07-23,32,2052,0.0156,7.38
2024-07-22,28,2192,0.0128,7.6
2024-07-21,31,2004,0.0155,7.52
2024-07-20,17,1569,0.0108,7.27
2024-07-19,29,1776,0.0163,7.72
2024-07-18,40,2199,0.0182,7.45
2024-07-17,35,2073,0.0169,7.75
2024-07-16,33,2143,0.0154,7.18
2024-07-15,33,2164,0.0152,7.94
2024-07-14,37,2157,0.0172,7.51
2024-07-13,38,1836,0.0207,7.74
2024-07-12,30,1868,0.0161,7.09
2024-07-11,32,2101,0.0152,7.13
2024-07-10,38,2218,0.0171,7.84
2024-07-09,31,2196,0.0141,7.3
2024-07-08,43,2287,0.0188,7.7
2024-07-07,33,1994,0.0165,7.84
2024-07-06,30,1721,0.0174,7.69
2024-07-05,39,1882,0.0207,8.15
2024-07-04,19,2049,0.0093,7.64
2024-07-03,32,2231,0.0143,7.56
2024-07-02,29,2243,0.0129,7.35
2024-07-01,30,2209,0.0136,7.74
2024-06-30,42,2303,0.0182,7.46
2024-06-29,40,2020,0.0198,7.78
2024-06-28,37,2063,0.0179,8.1
2024-06-27,43,2360,0.0182,7.84
2024-06-26,51,2607,0.0196,7.67
2024-06-25,38,2595,0.0146,7.76
2024-06-24,37,2500,0.0148,8.28
2024-06-23,41,2277,0.018,7.8
2024-06-22,45,2006,0.0224,7.63
2024-06-21,36,2361,0.0152,7.54
2024-06-20,55,2731,0.0201,7.92
2024-06-19,66,2981,0.0221,7.83
2024-06-18,54,2901,0.0186,7.99
2024-06-17,104,3049,0.0341,7.42
2024-06-16,98,2961,0.0331,7.05
2024-06-15,50,2113,0.0237,7.61
2024-06-14,55,2224,0.0247,7.8
2024-06-13,67,2987,0.0224,7.42
2024-06-12,80,3056,0.0262,7.57
2024-06-11,79,3227,0.0245,7.59
2024-06-10,83,3092,0.0268,7.14
2024-06-09,61,2320,0.0263,7.08
2024-06-08,61,2332,0.0262,7.52
2024-06-07,62,2472,0.0251,7.57
2024-06-06,112,3324,0.0337,7.17
2024-06-05,93,3390,0.0274,7.51
2024-06-04,111,3512,0.0316,7.41
2024-06-03,141,3484,0.0405,6.77
2024-06-02,111,3246,0.0342,6.85
2024-06-01,67,2342,0.0286,7.31
2024-05-31,53,2395,0.0221,7.81
2024-05-30,97,3254,0.0298,7.23
2024-05-29,121,3712,0.0326,7.49
2024-05-28,139,3517,0.0395,7.71
2024-05-27,107,3305,0.0324,7.44
2024-05-26,104,3111,0.0334,7.28
2024-05-25,38,2192,0.0173,7.86
2024-05-24,35,2195,0.0159,8.33
2024-05-23,98,3319,0.0295,7.26
