Top pages,Clicks,Impressions,CTR,Position
https://encyclopedia.ushmm.org/content/zh/article/antisemitism-1,544,7871,0.0691,5.2
https://encyclopedia.ushmm.org/content/zh/article/mein-kampf,411,3847,0.1068,5.01
https://encyclopedia.ushmm.org/content/zh/article/world-war-i,282,4709,0.0599,3.82
https://encyclopedia.ushmm.org/content/zh/article/world-war-ii-key-dates,214,6152,0.0348,5.67
https://encyclopedia.ushmm.org/content/en/article/introduction-to-the-holocaust,214,1120,0.1911,2.02
https://encyclopedia.ushmm.org/content/en/article/documenting-numbers-of-victims-of-the-holocaust-and-nazi-persecution,180,211,0.8531,1.48
https://encyclopedia.ushmm.org/content/en/article/ss,163,46424,0.0035,3.85
https://encyclopedia.ushmm.org/content/zh/article/introduction-to-the-holocaust,150,3821,0.0393,8.17
https://encyclopedia.ushmm.org/content/zh/film/hitler-speaks-before-the-reichstag-german-parliament,148,225,0.6578,2.66
https://encyclopedia.ushmm.org/content/zh/article/victims-of-the-nazi-era-nazi-racial-ideology,137,2085,0.0657,6.0
https://encyclopedia.ushmm.org/content/zh/article/aryan-1,127,1173,0.1083,4.2
https://encyclopedia.ushmm.org/content/en/article/the-nuremberg-race-laws,124,212,0.5849,1.28
https://encyclopedia.ushmm.org/content/en/article/kristallnacht,118,266,0.4436,1.62
https://encyclopedia.ushmm.org/content/zh/article/adolf-hitler,115,16462,0.007,6.54
https://encyclopedia.ushmm.org/content/zh/article/history-of-the-swastika,113,389,0.2905,1.87
https://encyclopedia.ushmm.org/content/zh/article/auschwitz,106,344,0.3081,3.35
https://encyclopedia.ushmm.org/content/zh/article/the-nazi-olympics-berlin-1936,98,3273,0.0299,9.72
https://encyclopedia.ushmm.org/content/zh/article/axis-powers-in-world-war-ii,89,793,0.1122,4.7
https://encyclopedia.ushmm.org/content/en/article/nazi-propaganda,88,161,0.5466,1.29
https://encyclopedia.ushmm.org/,83,194,0.4278,3.48
https://encyclopedia.ushmm.org/content/en/article/final-solution-overview,81,140,0.5786,1.34
https://encyclopedia.ushmm.org/content/en/article/nazi-camps,75,104,0.7212,5.1
https://encyclopedia.ushmm.org/content/en/article/martin-niemoeller-first-they-came-for-the-socialists,70,82,0.8537,1.63
https://encyclopedia.ushmm.org/content/zh/article/the-wannsee-conference-and-the-final-solution,69,445,0.1551,2.96
https://encyclopedia.ushmm.org/content/zh/article/antisemitism,69,360,0.1917,6.36
https://encyclopedia.ushmm.org/content/en/article/world-war-ii-key-dates,68,481,0.1414,6.15
https://encyclopedia.ushmm.org/content/zh/article/hitler-comes-to-power,67,16776,0.004,8.03
https://encyclopedia.ushmm.org/content/zh/article/world-war-i-abridged-article,67,3275,0.0205,6.22
https://encyclopedia.ushmm.org/content/en/article/the-armenian-genocide-1915-16-overview,67,131,0.5115,2.38
https://encyclopedia.ushmm.org/content/en/article/aryan-1,64,110,0.5818,3.09
https://encyclopedia.ushmm.org/content/zh/article/auschwitz-1,55,191,0.288,5.35
https://encyclopedia.ushmm.org/content/en/article/ghettos,49,111,0.4414,2.5
https://encyclopedia.ushmm.org/content/zh/article/ss-police-state,46,310,0.1484,3.59
https://encyclopedia.ushmm.org/content/en/article/josef-mengele,46,79,0.5823,2.41
https://encyclopedia.ushmm.org/content/en/article/invasion-of-poland-fall-1939,44,125,0.352,3.36
https://encyclopedia.ushmm.org/content/zh/article/women-during-the-holocaust,43,65,0.6615,8.72
https://encyclopedia.ushmm.org/content/en/article/auschwitz,40,123,0.3252,4.11
https://encyclopedia.ushmm.org/content/zh/article/nazi-camp-system,40,90,0.4444,3.71
https://encyclopedia.ushmm.org/content/en/article/axis-powers-in-world-war-ii,37,44,0.8409,1.5
https://encyclopedia.ushmm.org/content/zh/article/invasion-of-the-soviet-union-june-1941,34,5871,0.0058,8.06
https://encyclopedia.ushmm.org/content/zh/article/euthanasia-program-abridged-article,33,651,0.0507,6.58
https://encyclopedia.ushmm.org/content/en/article/neville-chamberlain,33,76,0.4342,3.18
https://encyclopedia.ushmm.org/content/en/timeline-event/holocaust/1939-1941/hitler-speech-to-german-parliament,33,40,0.825,3.58
https://encyclopedia.ushmm.org/content/zh/article/nazi-rule,32,2830,0.0113,7.21
https://encyclopedia.ushmm.org/content/en/article/treaty-of-versailles,32,354,0.0904,8.95
https://encyclopedia.ushmm.org/content/en/article/history-of-the-swastika,32,325,0.0985,6.26
https://encyclopedia.ushmm.org/content/zh/article/gestapo,31,178,0.1742,3.82
https://encyclopedia.ushmm.org/content/en/article/introduction-to-judaism,30,211,0.1422,3.24
https://encyclopedia.ushmm.org/content/zh/article/world-war-i-treaties-and-reparations,30,74,0.4054,5.62
https://encyclopedia.ushmm.org/content/en/article/world-war-ii-in-the-pacific,30,32,0.9375,3.53
https://encyclopedia.ushmm.org/content/en/article/mein-kampf,29,186,0.1559,3.78
https://encyclopedia.ushmm.org/content/en/article/the-enabling-act,29,40,0.725,1.57
https://encyclopedia.ushmm.org/content/en/article/nazi-medical-experiments,29,31,0.9355,1.42
https://encyclopedia.ushmm.org/content/en/article/the-nazi-rise-to-power,28,211,0.1327,7.99
https://encyclopedia.ushmm.org/content/zh/article/world-war-ii-in-europe-abridged-article,27,976,0.0277,6.64
https://encyclopedia.ushmm.org/content/en/article/the-nazi-party-1,27,253,0.1067,6.05
https://encyclopedia.ushmm.org/content/zh/article/oskar-schindler-abridged-article,27,82,0.3293,6.96
https://encyclopedia.ushmm.org/content/en/article/the-weimar-republic,27,60,0.45,2.17
https://encyclopedia.ushmm.org/content/en/article/waffen-ss,26,29229,0.0009,8.45
https://encyclopedia.ushmm.org/content/en/article/the-reichstag-fire,26,51,0.5098,2.27
https://encyclopedia.ushmm.org/content/en/article/hitler-comes-to-power,26,32,0.8125,4.16
https://encyclopedia.ushmm.org/content/zh/photo/jews-ordered-to-undress-before-their-execution,25,359,0.0696,6.75
https://encyclopedia.ushmm.org/content/zh/article/invasion-of-poland-fall-1939,25,55,0.4545,7.55
https://encyclopedia.ushmm.org/content/en/timeline/holocaust,25,39,0.641,2.77
https://encyclopedia.ushmm.org/content/en/gallery/world-war-ii-maps,25,35,0.7143,1.46
https://encyclopedia.ushmm.org/content/en/article/german-foreign-policy-1933-1945,25,30,0.8333,2.13
https://encyclopedia.ushmm.org/content/en/article/the-nazi-olympics-berlin-1936,25,28,0.8929,3.18
https://encyclopedia.ushmm.org/content/zh/article/world-war-ii-in-europe-1,24,791,0.0303,6.79
https://encyclopedia.ushmm.org/content/zh/article/third-reich-an-overview,24,308,0.0779,6.98
https://encyclopedia.ushmm.org/content/zh/article/jews-in-prewar-germany,24,308,0.0779,7.62
https://encyclopedia.ushmm.org/content/en/article/nuremberg-laws,24,63,0.381,3.21
https://encyclopedia.ushmm.org/content/zh/article/wannsee-conference-and-the-final-solution-abridged-article,23,260,0.0885,5.32
https://encyclopedia.ushmm.org/content/en/article/blitzkrieg-lightning-war,22,36,0.6111,1.61
https://encyclopedia.ushmm.org/content/zh/gallery/liberation-of-nazi-camps-films,22,29,0.7586,2.07
https://encyclopedia.ushmm.org/content/en/article/protocols-of-the-elders-of-zion,22,25,0.88,3.24
https://encyclopedia.ushmm.org/content/zh/article/gassing-operations,22,23,0.9565,1.65
https://encyclopedia.ushmm.org/content/en/article/the-aftermath-of-the-holocaust,21,24,0.875,2.04
https://encyclopedia.ushmm.org/content/en/article/the-great-depression,21,24,0.875,2.25
https://encyclopedia.ushmm.org/content/en/article/roma-gypsies-in-prewar-europe,21,24,0.875,2.62
https://encyclopedia.ushmm.org/content/zh/article/world-war-ii-in-europe,20,1671,0.012,6.9
https://encyclopedia.ushmm.org/content/zh/article/axis-alliance-in-world-war-ii-abridged-article,20,1334,0.015,8.94
https://encyclopedia.ushmm.org/content/zh/article/kristallnacht,20,160,0.125,2.59
https://encyclopedia.ushmm.org/content/en/article/warsaw-ghetto-uprising,20,27,0.7407,1.78
https://encyclopedia.ushmm.org/content/en/article/children-during-the-holocaust,20,24,0.8333,1.12
https://encyclopedia.ushmm.org/content/en/article/jewish-badge-during-the-nazi-era,19,217,0.0876,3.3
https://encyclopedia.ushmm.org/content/zh/article/the-nuremberg-trials,19,102,0.1863,7.12
https://encyclopedia.ushmm.org/content/en/article/darfur,19,32,0.5938,3.47
https://encyclopedia.ushmm.org/content/en/article/anne-frank-biography,18,258,0.0698,9.98
https://encyclopedia.ushmm.org/content/en/article/the-russian-revolution-1917,18,73,0.2466,6.32
https://encyclopedia.ushmm.org/content/en/article/spanish-civil-war,18,33,0.5455,3.61
https://encyclopedia.ushmm.org/content/en/article/dachau,18,26,0.6923,3.12
https://encyclopedia.ushmm.org/content/en/article/concentration-camps-1933-39,18,25,0.72,1.6
https://encyclopedia.ushmm.org/content/en/article/german-soviet-pact,18,25,0.72,2.4
https://encyclopedia.ushmm.org/content/en/article/adolf-hitler,17,2765,0.0061,9.72
https://encyclopedia.ushmm.org/content/zh/article/genocide-of-european-roma-gypsies-1939-1945,17,390,0.0436,8.79
https://encyclopedia.ushmm.org/content/en/article/the-night-of-broken-glass,17,71,0.2394,5.0
https://encyclopedia.ushmm.org/content/en/article/pogroms,17,65,0.2615,4.03
https://encyclopedia.ushmm.org/content/en/article/oskar-schindler,17,55,0.3091,4.95
https://encyclopedia.ushmm.org/content/en/article/einsatzgruppen,17,39,0.4359,2.31
https://encyclopedia.ushmm.org/content/zh/article/adolf-eichmann-abridged-article,17,28,0.6071,3.89
https://encyclopedia.ushmm.org/content/en/article/blood-libel,17,20,0.85,1.8
https://encyclopedia.ushmm.org/content/ja/article/world-war-ii-key-dates,17,20,0.85,3.05
https://encyclopedia.ushmm.org/content/en/article/wannsee-conference-and-the-final-solution,17,19,0.8947,2.42
https://encyclopedia.ushmm.org/content/en/article/polish-jewish-refugees-in-the-shanghai-ghetto-19411945,16,18,0.8889,3.83
https://encyclopedia.ushmm.org/content/en/article/white-rose,16,17,0.9412,2.29
https://encyclopedia.ushmm.org/content/zh/article/the-nazi-terror-begins,15,266,0.0564,7.99
https://encyclopedia.ushmm.org/content/zh/article/nazi-olympics-berlin-1936-abridged-article,15,51,0.2941,6.57
https://encyclopedia.ushmm.org/content/en/article/gestapo,15,29,0.5172,3.52
https://encyclopedia.ushmm.org/content/en/article/hitler-youth-2,15,22,0.6818,1.95
https://encyclopedia.ushmm.org/content/es/article/history-of-the-swastika,15,19,0.7895,2.11
https://encyclopedia.ushmm.org/content/zh/article/refugees,14,364,0.0385,9.04
https://encyclopedia.ushmm.org/content/zh/article/jewish-life-in-europe-before-the-holocaust,14,178,0.0787,8.1
https://encyclopedia.ushmm.org/content/en/article/nazi-racism,14,18,0.7778,1.78
https://encyclopedia.ushmm.org/content/en/map/german-conquests-in-europe-1939-1942,14,17,0.8235,1.94
https://encyclopedia.ushmm.org/content/zh/article/nuremberg-laws,13,94,0.1383,12.24
https://encyclopedia.ushmm.org/content/zh/map/german-territorial-losses-treaty-of-versailles-1919,13,43,0.3023,4.79
https://encyclopedia.ushmm.org/content/en/timeline-event/holocaust/1933-1938/munich-agreement,13,42,0.3095,3.1
https://encyclopedia.ushmm.org/content/en/article/beer-hall-putsch-munich-putsch,13,22,0.5909,2.59
https://encyclopedia.ushmm.org/content/en/article/bergen-belsen,13,20,0.65,1.45
https://encyclopedia.ushmm.org/content/ja/article/auschwitz-1,13,16,0.8125,2.06
https://encyclopedia.ushmm.org/content/en/article/german-jews-during-the-holocaust,13,16,0.8125,2.81
https://encyclopedia.ushmm.org/content/zh/gallery/antisemitism-photographs,13,15,0.8667,5.73
https://encyclopedia.ushmm.org/content/zh/map/european-jewish-population-distribution-ca-1933,13,14,0.9286,3.14
https://encyclopedia.ushmm.org/content/zh/article/international-military-tribunal-at-nuremberg,12,26,0.4615,5.77
https://encyclopedia.ushmm.org/content/en/article/the-final-solution,12,25,0.48,2.64
https://encyclopedia.ushmm.org/content/ru/article/history-of-the-swastika,12,17,0.7059,2.94
https://encyclopedia.ushmm.org/content/en/article/book-burning,12,14,0.8571,1.5
https://encyclopedia.ushmm.org/content/en/article/women-during-the-holocaust,12,13,0.9231,1.92
https://encyclopedia.ushmm.org/content/en/article/nazi-propaganda-and-censorship,12,12,1.0,1.33
https://encyclopedia.ushmm.org/content/zh/article/german-soviet-pact,11,23,0.4783,3.65
https://encyclopedia.ushmm.org/content/en/article/nazi-territorial-aggression-the-anschluss,11,17,0.6471,3.24
https://encyclopedia.ushmm.org/content/en/article/heinrich-himmler,11,16,0.6875,3.38
https://encyclopedia.ushmm.org/content/zh/article/final-solution-overview,11,15,0.7333,4.6
https://encyclopedia.ushmm.org/content/en/article/the-evian-conference,11,14,0.7857,1.0
https://encyclopedia.ushmm.org/content/en/timeline-event/holocaust/before-1933/treaty-of-versailles-presented-to-german-delegation,11,11,1.0,1.45
https://encyclopedia.ushmm.org/content/en/article/lebensborn-program,11,11,1.0,2.18
https://encyclopedia.ushmm.org/content/en/article/the-sa,10,117,0.0855,4.89
https://encyclopedia.ushmm.org/content/en/article/ministry-of-propaganda-and-public-enlightenment,10,58,0.1724,2.1
https://encyclopedia.ushmm.org/content/en/article/gassing-operations,10,43,0.2326,5.65
https://encyclopedia.ushmm.org/content/zh/article/what-is-genocide,10,27,0.3704,2.93
https://encyclopedia.ushmm.org/content/zh/article/at-the-killing-centers,10,20,0.5,4.0
https://encyclopedia.ushmm.org/content/en/article/ravensbrueck,10,17,0.5882,4.76
https://encyclopedia.ushmm.org/content/en/article/volkswagen-1,10,12,0.8333,1.75
https://encyclopedia.ushmm.org/content/ja/article/introduction-to-the-holocaust,10,12,0.8333,1.75
https://encyclopedia.ushmm.org/content/ko/article/introduction-to-the-holocaust,10,12,0.8333,1.75
https://encyclopedia.ushmm.org/content/en/article/antisemitism-in-history-nazi-antisemitism,10,11,0.9091,1.73
https://encyclopedia.ushmm.org/content/en/article/euthanasia-program,10,11,0.9091,1.82
https://encyclopedia.ushmm.org/content/en/article/kiev-and-babi-yar,10,11,0.9091,1.82
https://encyclopedia.ushmm.org/content/fr/article/history-of-the-swastika,10,11,0.9091,2.09
https://encyclopedia.ushmm.org/content/en/article/anti-jewish-legislation-in-prewar-germany,10,11,0.9091,2.18
https://encyclopedia.ushmm.org/content/en/article/world-war-i-aftermath,10,11,0.9091,3.64
https://encyclopedia.ushmm.org/content/en/article/remaining-jewish-population-of-europe-in-1945,10,10,1.0,1.6
https://encyclopedia.ushmm.org/content/zh/article/euthanasia-program,9,355,0.0254,8.54
https://encyclopedia.ushmm.org/content/zh/photo/joseph-goebbels-speaks-during-book-burning,9,240,0.0375,4.92
https://encyclopedia.ushmm.org/content/en/article/karl-marx,9,170,0.0529,12.75
https://encyclopedia.ushmm.org/content/en/article/liberation-of-nazi-camps,9,79,0.1139,1.87
https://encyclopedia.ushmm.org/content/en/article/what-groups-of-people-did-the-nazis-target,9,22,0.4091,1.41
https://encyclopedia.ushmm.org/content/zh/article/hitler-youth-2,9,20,0.45,6.05
https://encyclopedia.ushmm.org/content/zh/article/rwanda-the-first-conviction-for-genocide,9,17,0.5294,11.29
https://encyclopedia.ushmm.org/content/zh/article/the-warsaw-ghetto-uprising,9,15,0.6,4.67
https://encyclopedia.ushmm.org/content/en/article/german-prewar-expansion,9,14,0.6429,1.71
https://encyclopedia.ushmm.org/index.php/content/en/article/ghettos,9,14,0.6429,2.71
https://encyclopedia.ushmm.org/content/en/article/women-in-the-third-reich,9,12,0.75,9.92
https://encyclopedia.ushmm.org/content/en/article/fascism-1,9,11,0.8182,5.45
https://encyclopedia.ushmm.org/content/en/article/refugees,9,10,0.9,1.5
https://encyclopedia.ushmm.org/content/en/article/jewish-resistance,9,9,1.0,1.11
https://encyclopedia.ushmm.org/content/en/map/german-territorial-losses-treaty-of-versailles-1919,9,9,1.0,1.67
https://encyclopedia.ushmm.org/content/en/article/the-german-churches-and-the-nazi-state,9,9,1.0,2.0
https://encyclopedia.ushmm.org/content/ko/article/world-war-i,9,9,1.0,2.44
https://encyclopedia.ushmm.org/content/ja/article/world-war-ii-in-the-pacific,9,9,1.0,2.78
https://encyclopedia.ushmm.org/content/en/article/ss-police-state,8,860,0.0093,9.42
https://encyclopedia.ushmm.org/content/zh/photo/swastika-and-olympic-flags-in-berlin,8,703,0.0114,8.37
https://encyclopedia.ushmm.org/content/zh/article/gay-men-under-the-nazi-regime,8,30,0.2667,14.97
https://encyclopedia.ushmm.org/content/en/article/lebensraum,8,20,0.4,2.8
https://encyclopedia.ushmm.org/content/en/timeline-event/holocaust/1933-1938/reichstag-fire-decree,8,17,0.4706,5.47
https://encyclopedia.ushmm.org/content/zh/article/dachau-abridged-article,8,13,0.6154,4.0
https://encyclopedia.ushmm.org/content/en/article/life-in-the-ghettos,8,12,0.6667,3.33
https://encyclopedia.ushmm.org/content/zh/article/nazi-territorial-aggression-the-anschluss,8,12,0.6667,3.5
https://encyclopedia.ushmm.org/content/en/article/roehm-purge,8,12,0.6667,8.08
https://encyclopedia.ushmm.org/content/en/question/how-did-leaders-diplomats-and-citizens-around-the-world-respond-to-the-events-of-the-holocaust,8,11,0.7273,1.09
https://encyclopedia.ushmm.org/content/ja/article/the-nazi-terror-begins,8,11,0.7273,3.82
https://encyclopedia.ushmm.org/content/en/article/bayer,8,10,0.8,1.0
https://encyclopedia.ushmm.org/content/es/article/world-war-i,8,10,0.8,1.5
https://encyclopedia.ushmm.org/content/zh/article/ghettos,8,10,0.8,2.0
https://encyclopedia.ushmm.org/content/ko/article/world-war-ii-key-dates,8,10,0.8,4.4
https://encyclopedia.ushmm.org/content/en/article/adolf-hitler-early-years-1889-1913,8,10,0.8,6.3
