Top queries,Clicks,Impressions,CTR,Position
犹太人,424,8939,0.0474,5.34
我的奋斗,320,5006,0.0639,4.96
希特勒,142,17472,0.0081,6.07
ss,139,46851,0.003,3.82
希特勒演讲,100,177,0.565,2.04
第一次世界大战,90,4947,0.0182,3.1
holocaust,90,1466,0.0614,2.21
雅利安人,89,2024,0.044,4.27
犹太人为什么被歧视,82,159,0.5157,1.42
万湖会议,77,705,0.1092,2.9
kristallnacht,73,220,0.3318,1.66
nuremberg laws,65,123,0.5285,1.11
奥斯维辛,63,404,0.1559,3.25
holocaust encyclopedia,63,63,1.0,1.0
the holocaust,55,158,0.3481,1.56
奥斯维辛集中营,54,182,0.2967,3.23
犹太人为什么被迫害,52,101,0.5149,3.81
卐,51,435,0.1172,1.3
纳粹,48,5500,0.0087,6.14
nazi propaganda,41,101,0.4059,1.07
第二次世界大战,39,4126,0.0095,3.91
柏林奥运会,39,86,0.4535,2.0
二战,38,5328,0.0071,5.92
党卫军,37,635,0.0583,2.79
armenian genocide,37,108,0.3426,2.44
盖世太保,30,575,0.0522,4.06
安乐死,29,1035,0.028,6.62
judaism,27,361,0.0748,4.14
反犹太主义,26,225,0.1156,3.85
犹太,26,170,0.1529,5.41
二战时间线,26,36,0.7222,2.03
the final solution,25,51,0.4902,1.33
一战,24,2199,0.0109,5.42
轴心国,23,663,0.0347,4.03
mein kampf,23,413,0.0557,3.92
集中营,22,151,0.1457,4.09
纳粹标志,21,270,0.0778,3.11
auschwitz,19,178,0.1067,4.2
希特靳为什么要杀犹太人,19,25,0.76,2.16
第一次世界大战的原因,18,24,0.75,1.42
世界大战,17,317,0.0536,3.2
水晶之夜,17,264,0.0644,2.44
ghettos,17,49,0.3469,1.27
final solution,17,43,0.3953,1.65
纽伦堡审判,17,35,0.4857,3.29
苏联,16,6787,0.0024,8.11
第一次世界大战起因,16,25,0.64,1.12
希特勒的演讲,16,21,0.7619,2.24
辛德勒,15,90,0.1667,4.54
weimar republic,15,80,0.1875,2.08
凡尔赛条约,15,76,0.1974,4.47
kristallnacht definition,15,36,0.4167,1.39
第一次世界大战导火索,15,21,0.7143,1.0
first they came for,15,21,0.7143,1.52
二战时间,14,175,0.08,2.31
invasion of poland,14,81,0.1728,4.04
einsatzgruppen,14,36,0.3889,2.28
希特勒 我的奋斗,14,26,0.5385,3.23
concentration camps,14,24,0.5833,1.42
纳粹集中营,14,24,0.5833,2.79
轴心国与同盟国,14,20,0.7,3.0
希特勒为什么杀犹太人,14,18,0.7778,2.06
希特勒为什么要杀犹太人,14,15,0.9333,2.2
aryan,13,95,0.1368,4.37
josef mengele,13,35,0.3714,2.0
reichstag fire,13,35,0.3714,2.23
第二次世界大战起因,13,20,0.65,1.65
how many people died in the holocaust,13,18,0.7222,1.06
纳粹集中营电影,13,18,0.7222,1.5
一战原因,13,18,0.7222,1.67
二战轴心国,13,16,0.8125,1.19
奥运会,12,3474,0.0035,9.81
第三帝国,12,84,0.1429,4.63
darfur genocide,12,22,0.5455,2.09
warsaw ghetto uprising,12,17,0.7059,1.12
first they came for the socialists,12,13,0.9231,1.0
希特勒上台,12,13,0.9231,1.23
为什么犹太人会被歧视,12,13,0.9231,1.46
anne frank,11,643,0.0171,10.45
yellow star,11,433,0.0254,3.42
乌克兰犹太人,11,237,0.0464,6.44
屠杀,11,42,0.2619,4.79
德国奥运会,11,24,0.4583,2.67
aryan race,11,22,0.5,2.32
hitler speech,11,18,0.6111,3.5
犹太女人,11,17,0.6471,2.71
一战爆发原因,11,15,0.7333,1.0
希特勒 演讲,11,13,0.8462,1.85
犹太猪,11,13,0.8462,4.0
adolf hitler,10,1460,0.0068,9.74
swastika,10,937,0.0107,6.0
oskar schindler,10,67,0.1493,5.0
种族灭绝,10,54,0.1852,3.78
blitzkrieg,10,35,0.2857,1.49
1936年柏林奥运会,10,23,0.4348,1.09
the nuremberg law,10,22,0.4545,1.05
齐克隆b,10,20,0.5,3.4
犹太人大屠杀,10,16,0.625,3.12
the holocaust encyclopedia,10,14,0.7143,1.0
the enabling act,10,14,0.7143,1.14
一战起因,10,12,0.8333,1.33
我的奋斗 希特勒,10,11,0.9091,2.91
反犹,9,54,0.1667,4.26
spanish civil war,9,49,0.1837,4.24
闪击波兰,9,44,0.2045,3.84
阿道夫希特勒,9,23,0.3913,4.91
华沙起义,9,20,0.45,4.45
mengele,9,17,0.5294,2.94
blood libel,9,16,0.5625,2.0
达豪集中营,9,16,0.5625,2.62
nuremburg laws,9,12,0.75,1.25
how many people did hitler kill,9,11,0.8182,1.0
wannsee conference,9,11,0.8182,2.18
奥斯威辛集中营,9,11,0.8182,2.18
希特勒 犹太人,9,10,0.9,1.9
德国为什么杀犹太人,9,9,1.0,1.78
毒气室,9,9,1.0,2.44
吉普赛人,8,918,0.0087,8.98
戈培尔,8,674,0.0119,5.86
反犹主义,8,89,0.0899,4.43
闪电战,8,43,0.186,5.02
反犹太,8,38,0.2105,3.74
艾希曼,8,23,0.3478,3.96
