Date,Clicks,Impressions,CTR,Position
2024-12-31,1000,36238,0.0276,7.72
2024-12-30,1208,42136,0.0287,8.95
2024-12-29,1410,47973,0.0294,8.94
2024-12-28,1256,42880,0.0293,8.48
2024-12-27,1158,43689,0.0265,9.53
2024-12-26,1219,43658,0.0279,8.69
2024-12-25,1109,41703,0.0266,7.52
2024-12-24,966,38775,0.0249,9.04
2024-12-23,1028,39964,0.0257,9.59
2024-12-22,1142,44579,0.0256,9.23
2024-12-21,1133,42196,0.0269,8.11
2024-12-20,1074,40974,0.0262,8.17
2024-12-19,1224,46012,0.0266,8.49
2024-12-18,1396,49728,0.0281,7.85
2024-12-17,1583,52170,0.0303,8.17
2024-12-16,1601,53162,0.0301,8.61
2024-12-15,1465,49061,0.0299,7.63
2024-12-14,1396,46982,0.0297,7.18
2024-12-13,1295,46500,0.0278,7.58
2024-12-12,1713,59013,0.029,7.21
2024-12-11,1835,58360,0.0314,7.14
2024-12-10,1915,59416,0.0322,7.26
2024-12-09,2028,62401,0.0325,7.26
2024-12-08,1828,57261,0.0319,7.55
2024-12-07,1478,50250,0.0294,7.92
2024-12-06,1601,53147,0.0301,7.82
2024-12-05,1917,63037,0.0304,7.75
2024-12-04,1877,63507,0.0296,7.87
2024-12-03,1890,64731,0.0292,7.72
2024-12-02,1830,64858,0.0282,7.54
2024-12-01,1758,60906,0.0289,7.68
2024-11-30,1385,50781,0.0273,7.92
2024-11-29,1639,56394,0.0291,7.7
2024-11-28,1921,66638,0.0288,7.65
2024-11-27,2138,78204,0.0273,7.42
2024-11-26,2010,71447,0.0281,7.52
2024-11-25,2032,70024,0.029,7.96
2024-11-24,2008,66525,0.0302,8.08
2024-11-23,1436,54119,0.0265,8.16
2024-11-22,1618,58199,0.0278,7.96
2024-11-21,2101,71015,0.0296,7.47
2024-11-20,1963,67315,0.0292,7.46
2024-11-19,2038,69538,0.0293,7.46
2024-11-18,2024,74323,0.0272,7.5
2024-11-17,2013,67315,0.0299,7.62
2024-11-16,1732,60156,0.0288,7.92
2024-11-15,1784,63715,0.028,7.82
2024-11-14,2020,69939,0.0289,7.78
2024-11-13,2128,67181,0.0317,7.44
2024-11-12,2009,64599,0.0311,7.93
2024-11-11,2240,71885,0.0312,8.57
2024-11-10,2218,73494,0.0302,8.75
