Top pages,Clicks,Impressions,CTR,Position
https://encyclopedia.ushmm.org/content/de/article/josef-mengele,17086,297631,0.0574,3.15
https://encyclopedia.ushmm.org/content/de/article/martin-niemoeller-first-they-came-for-the-socialists,13707,94125,0.1456,3.97
https://encyclopedia.ushmm.org/content/de/article/documenting-numbers-of-victims-of-the-holocaust-and-nazi-persecution,13634,52441,0.26,3.46
https://encyclopedia.ushmm.org/content/de/article/aryan-1,6022,207492,0.029,4.52
https://encyclopedia.ushmm.org/content/de/article/euthanasia-program,5655,182999,0.0309,5.02
https://encyclopedia.ushmm.org/content/en/article/documenting-numbers-of-victims-of-the-holocaust-and-nazi-persecution,5123,20213,0.2535,5.92
https://encyclopedia.ushmm.org/content/de/article/oskar-schindler,4880,388925,0.0125,5.04
https://encyclopedia.ushmm.org/content/de/article/axis-powers-in-world-war-ii,2789,75139,0.0371,4.89
https://encyclopedia.ushmm.org/content/de/article/killing-centers-in-depth,2354,26360,0.0893,5.96
https://encyclopedia.ushmm.org/content/de/article/hitler-youth-2,2306,199240,0.0116,6.76
https://encyclopedia.ushmm.org/content/de/article/gestapo,2275,154265,0.0147,2.4
https://encyclopedia.ushmm.org/content/en/article/dachau,1704,114008,0.0149,8.08
https://encyclopedia.ushmm.org/content/de/article/introduction-to-the-holocaust,1660,211227,0.0079,7.05
https://encyclopedia.ushmm.org/content/de/article/nazi-propaganda,1465,14789,0.0991,4.95
https://encyclopedia.ushmm.org/content/de/article/the-nazi-rise-to-power,1427,40597,0.0352,8.23
https://encyclopedia.ushmm.org/content/de/article/kristallnacht,1401,112503,0.0125,6.28
https://encyclopedia.ushmm.org/content/ru/article/world-war-ii-key-dates,1288,36934,0.0349,4.16
https://encyclopedia.ushmm.org/content/de/article/nazi-camps,1285,27777,0.0463,9.63
https://encyclopedia.ushmm.org/content/de/article/german-soviet-pact,1254,53461,0.0235,6.56
https://encyclopedia.ushmm.org/content/ru/article/world-war-i-abridged-article,1233,45891,0.0269,6.64
https://encyclopedia.ushmm.org/content/ru/article/victims-of-the-nazi-era-nazi-racial-ideology,1231,4685,0.2628,5.57
https://encyclopedia.ushmm.org/content/de/article/kiev-and-babi-yar,1061,18750,0.0566,6.51
https://encyclopedia.ushmm.org/content/en/article/nazi-camps,1023,7263,0.1409,6.03
https://encyclopedia.ushmm.org/content/ru/article/adolf-hitler,1001,85364,0.0117,4.52
https://encyclopedia.ushmm.org/content/en/gallery/camp-system-maps,998,2894,0.3449,5.84
https://encyclopedia.ushmm.org/content/en/article/martin-niemoeller-first-they-came-for-the-socialists,990,2721,0.3638,2.94
https://encyclopedia.ushmm.org/content/de/article/mein-kampf,897,177001,0.0051,9.39
https://encyclopedia.ushmm.org/content/en/gallery/concentration-camps-1942-45-maps,878,2303,0.3812,6.85
https://encyclopedia.ushmm.org/content/de/article/holocaust-abridged-article,875,155182,0.0056,11.67
https://encyclopedia.ushmm.org/content/ru/article/world-war-i,871,46656,0.0187,5.67
https://encyclopedia.ushmm.org/content/de/article/jewish-badge-during-the-nazi-era,850,71893,0.0118,10.0
https://encyclopedia.ushmm.org/content/de/article/holocaust-denial-key-dates,828,8627,0.096,4.38
https://encyclopedia.ushmm.org/content/en/gallery/auschwitz-camp-complex-maps,810,19592,0.0413,4.24
