Top queries,Clicks,Impressions,CTR,Position
josef mengele,4588,138897,0.033,2.73
oskar schindler,3713,265993,0.014,3.99
wie viele menschen hat hitler getötet,2864,9131,0.3137,1.11
martin niemöller,2608,46949,0.0555,4.71
gestapo,1773,149194,0.0119,2.51
mengele experimente,1691,5649,0.2993,1.6
als sie die kommunisten holten,1518,4102,0.3701,1.37
martin niemöller zitat,1456,4642,0.3137,1.26
holocaust,1328,284393,0.0047,7.92
arier,1249,93980,0.0133,4.76
hitlerjugend,1221,63190,0.0193,4.66
euthanasia,1207,80696,0.015,2.52
mengele,1169,76952,0.0152,4.37
dr mengele,1111,26565,0.0418,2.64
als die nazis die kommunisten holten,1072,2061,0.5201,1.04
josef mengele experimente,1020,2464,0.414,1.11
euthanasieprogramm,890,3334,0.2669,1.47
aktion t4,731,28847,0.0253,4.76
dachau concentration camp,716,80169,0.0089,7.63
kristallnacht,710,46737,0.0152,2.31
hitler stalin pakt,683,45284,0.0151,6.97
wie viele juden wurden im zweiten weltkrieg ermordet,615,5108,0.1204,3.39
mein kampf,599,172638,0.0035,9.37
mengele josef,573,15251,0.0376,3.04
первая мировая война,558,35602,0.0157,5.1
бухенвальд,553,13636,0.0406,5.78
mengele arzt,508,10115,0.0502,2.73
wie viele juden hat hitler getötet,500,2169,0.2305,2.41
wie viele leute hat hitler getötet,481,1264,0.3805,1.08
how many people did hitler kill,477,1207,0.3952,1.0
aufstieg der nsdap,464,5625,0.0825,2.92
niemöller zitat,457,1260,0.3627,1.11
zuerst kamen sie,449,751,0.5979,1.01
holocaust encyclopedia,434,549,0.7905,1.0
wie viele menschen hat hitler umgebracht,411,1045,0.3933,1.08
erst holten sie die kommunisten,410,570,0.7193,1.0
holocaust enzyklopädie,402,479,0.8392,1.0
als sie die juden holten,400,584,0.6849,1.0
dr. mengele,388,6335,0.0612,2.62
ewa rapaport,360,2471,0.1457,2.12
dachau,359,45029,0.008,10.58
освенцим,359,15565,0.0231,2.87
wie viele juden sind im zweiten weltkrieg gestorben,350,2590,0.1351,3.52
euthanasie programm,349,1164,0.2998,1.89
auschwitz maps,345,14544,0.0237,3.04
niemöller,344,24005,0.0143,4.3
how many people died in the holocaust,340,764,0.445,1.09
achsenmächte,329,33748,0.0097,3.45
arische rasse,327,11427,0.0286,3.43
dr mengele experimente,324,833,0.389,1.62
arisch,320,54788,0.0058,4.95
babi yar,315,3764,0.0837,3.42
первая мировая война кратко,304,1057,0.2876,2.44
wie viele juden wurden ermordet,303,837,0.362,3.05
martin niemöller gedicht,301,582,0.5172,1.08
einsatzgruppen,289,6055,0.0477,2.63
гитлер,285,51083,0.0056,4.7
vernichtungslager,282,17968,0.0157,5.1
концлагеря в германии на карте,277,576,0.4809,1.05
als sie mich holten,271,377,0.7188,1.0
wie viel menschen hat hitler getötet,265,633,0.4186,1.11
erst haben sie die kommunisten geholt,263,342,0.769,1.0
hitler,251,126857,0.002,11.84
armenian genocide,243,13903,0.0175,2.83
adolf hitler,239,125584,0.0019,12.66
nazi propaganda,237,4724,0.0502,2.39
holocaust tote,232,2957,0.0785,4.58
pastor niemöller,231,1252,0.1845,2.78
nuremberg laws,229,1007,0.2274,1.96
holocaust leugner,227,3361,0.0675,3.61
wie viele juden starben im zweiten weltkrieg,226,5797,0.039,5.29
zuerst holten sie die kommunisten,226,273,0.8278,1.0
hitler speech,224,7640,0.0293,6.14
schindler,219,106183,0.0021,7.87
wieviele menschen hat hitler getötet,216,423,0.5106,1.18
вторая мировая война,215,21608,0.01,3.51
erst kamen sie für die kommunisten,214,289,0.7405,1.0
how many jews died in the holocaust,212,1574,0.1347,2.45
niemöller gedicht,211,336,0.628,1.1
wie viele hat hitler getötet,204,444,0.4595,1.19
ns propaganda,199,6867,0.029,5.12
t4 aktion,199,4833,0.0412,4.5
бабий яр,199,4158,0.0479,4.4
zuerst kamen sie für die kommunisten,198,277,0.7148,1.0
euthanasie,197,42744,0.0046,8.64
wie viele menschen sind im holocaust gestorben,195,395,0.4937,1.49
wie viele juden wurden im 2. weltkrieg ermordet,193,499,0.3868,1.37
als sie kamen um mich zu holen,193,229,0.8428,1.0
arisch bedeutung,192,13646,0.0141,4.25
dr josef mengele,189,2866,0.0659,2.55
martin niemöller als die nazis die kommunisten holten,185,290,0.6379,1.12
почему гитлер уничтожал евреев,183,338,0.5414,1.02
weimar republic,182,23728,0.0077,4.9
wie viele menschen sind beim holocaust gestorben,175,361,0.4848,1.27
холокост,174,10374,0.0168,4.42
verbündete deutschland 2. weltkrieg,173,2631,0.0658,4.35
dr. mengele experimente,172,290,0.5931,1.22
aufstieg nsdap,170,1039,0.1636,3.18
night of broken glass,170,598,0.2843,2.23
aryan race,167,6833,0.0244,2.87
campos de concentracion en alemania,167,1910,0.0874,2.77
first they came for the socialists,167,275,0.6073,1.0
как гитлер пришел к власти,166,226,0.7345,1.05
how many jews were killed in the holocaust,165,801,0.206,2.32
wie viele menschen starben in konzentrationslagern,164,306,0.5359,2.65
дахау,163,7393,0.022,4.36
josef mengele versuche,163,269,0.6059,1.39
holocaust opfer,162,1851,0.0875,5.24
concentration camps,162,1584,0.1023,2.23
dr mengele versuche,162,286,0.5664,1.1
hitler jugend,160,19740,0.0081,6.7
holocaust zeitraum,160,3164,0.0506,2.7
first they came for,160,1014,0.1578,2.72
aryan,159,25603,0.0062,5.84
martin niemöller zitate,159,360,0.4417,1.49
auschwitz,158,74771,0.0021,3.93
pogrom,158,65811,0.0024,6.49
babyn jar,157,10833,0.0145,7.42
auschwitz map,157,1090,0.144,1.4
wie viele juden hat hitler umgebracht,154,452,0.3407,2.15
адольф гитлер,151,21722,0.007,4.69
dachau toplama kampı,149,2014,0.074,2.15
卐,148,3648,0.0406,1.38
how many jews did hitler kill,148,323,0.4582,1.11
wie viele leute hat hitler umgebracht,147,283,0.5194,1.02
wie viele menschen starben im kz,144,321,0.4486,2.09
überfall auf polen zusammenfassung,143,873,0.1638,1.91
wie viele juden sind im 2 weltkrieg gestorben,143,463,0.3089,2.72
holocaust kinder,142,245,0.5796,1.0
how many concentration camps were there,141,473,0.2981,1.89
martin niemöller zitat bedeutung,141,283,0.4982,1.0
schindler oskar,140,2779,0.0504,3.42
rotes dreieck kz,139,883,0.1574,1.43
holocaustleugnung,138,3822,0.0361,3.93
rasa aryjska,138,545,0.2532,2.04
holocaust zeitstrahl,138,201,0.6866,1.0
concentration camp map,138,193,0.715,1.0
irmgard huber,137,302,0.4536,2.22
how many people died in concentration camps,135,194,0.6959,1.01
joseph mengele,134,4362,0.0307,2.71
babyn yar,134,1149,0.1166,3.42
متى بدأت الحرب العالمية الثانية,132,2596,0.0508,1.06
josef mengele experiments,132,503,0.2624,2.52
почему гитлер ненавидел евреев,130,1228,0.1059,4.53
euthanasie t4,130,462,0.2814,2.8
концлагеря в германии,128,2120,0.0604,3.82
arier herkunft,128,1689,0.0758,1.57
niemöller als sie die kommunisten holten,128,234,0.547,1.44
how many jews died in ww2,127,405,0.3136,1.79
polizei in der weimarer republik,127,203,0.6256,1.46
welche länder hat hitler eingenommen,126,451,0.2794,1.03
beer hall putsch,125,5246,0.0238,5.01
начало второй мировой войны,125,2783,0.0449,2.56
геноцид армян,124,2069,0.0599,3.3
wie viele juden starben im holocaust,124,811,0.1529,4.26
arisch deutsch,123,5289,0.0233,1.44
guerra civil española,123,3811,0.0323,4.03
zitat martin niemöller,122,251,0.4861,1.16
wie viele menschen tötete hitler,121,238,0.5084,1.27
свастика,120,28199,0.0043,4.78
wie viele menschen haben die nazis getötet,120,149,0.8054,1.06
ss,119,123862,0.001,6.85
jasenovac,118,15291,0.0077,6.35
