Date,Clicks,Impressions,CTR,Position
2024-12-31,583,43645,0.0134,11.14
2024-12-30,730,45989,0.0159,11.66
2024-12-29,880,49055,0.0179,10.83
2024-12-28,885,48956,0.0181,11.3
2024-12-27,1065,54402,0.0196,10.84
2024-12-26,1207,59686,0.0202,9.47
2024-12-25,1375,66324,0.0207,9.15
2024-12-24,1517,69617,0.0218,9.12
2024-12-23,1586,69384,0.0229,8.91
2024-12-22,1536,68821,0.0223,9.17
2024-12-21,1043,57617,0.0181,10.45
2024-12-20,1328,64566,0.0206,9.88
2024-12-19,1645,74378,0.0221,9.04
2024-12-18,1718,75183,0.0229,8.93
2024-12-17,1713,75211,0.0228,9.04
2024-12-16,1675,76746,0.0218,9.21
2024-12-15,1594,72664,0.0219,8.9
2024-12-14,1300,61124,0.0213,9.54
2024-12-13,1401,66296,0.0211,9.42
2024-12-12,1845,81733,0.0226,9.34
2024-12-11,1923,84982,0.0226,9.32
2024-12-10,2009,86155,0.0233,9.21
2024-12-09,2340,100324,0.0233,8.94
2024-12-08,2578,105623,0.0244,8.76
2024-12-07,1935,85563,0.0226,9.87
2024-12-06,4560,225585,0.0202,6.6
2024-12-05,4563,207845,0.022,6.49
2024-12-04,2780,107878,0.0258,8.91
2024-12-03,2745,103644,0.0265,8.97
2024-12-02,3009,108968,0.0276,8.17
2024-12-01,2853,103108,0.0277,8.41
2024-11-30,2268,90270,0.0251,8.72
2024-11-29,2259,91657,0.0246,9.12
2024-11-28,2877,107535,0.0268,8.66
2024-11-27,2898,112205,0.0258,8.59
2024-11-26,2896,115832,0.025,8.93
2024-11-25,2995,117562,0.0255,9.49
2024-11-24,2729,107432,0.0254,9.8
2024-11-23,1913,81919,0.0234,10.65
2024-11-22,2136,98742,0.0216,9.91
2024-11-21,2774,116793,0.0238,9.35
2024-11-20,2998,118640,0.0253,9.15
2024-11-19,3225,122350,0.0264,8.56
2024-11-18,3053,130899,0.0233,8.46
2024-11-17,2818,109639,0.0257,9.19
2024-11-16,1898,86676,0.0219,10.29
2024-11-15,2234,96071,0.0233,9.93
2024-11-14,3037,115193,0.0264,9.09
2024-11-13,3035,112420,0.027,9.11
2024-11-12,3040,113239,0.0268,9.05
2024-11-11,3006,114663,0.0262,8.43
2024-11-10,2755,106065,0.026,8.53
2024-11-09,1997,84690,0.0236,9.85
2024-11-08,2460,99760,0.0247,9.51
2024-11-07,2816,108738,0.0259,8.64
2024-11-06,2604,103109,0.0253,8.57
2024-11-05,2468,98493,0.0251,8.67
2024-11-04,2232,90195,0.0247,8.92
2024-11-03,1876,78863,0.0238,9.57
2024-11-02,1666,74505,0.0224,9.44
2024-11-01,1951,82606,0.0236,9.06
2024-10-31,2053,86582,0.0237,9.09
2024-10-30,2213,88889,0.0249,8.95
2024-10-29,2248,87745,0.0256,8.81
2024-10-28,2094,88329,0.0237,9.42
2024-10-27,1975,80092,0.0247,9.39
2024-10-26,1814,76345,0.0238,9.45
2024-10-25,2014,85029,0.0237,9.2
2024-10-24,2558,101166,0.0253,8.54
2024-10-23,2718,107176,0.0254,8.34
2024-10-22,2870,111991,0.0256,8.38
2024-10-21,2877,112705,0.0255,8.13
2024-10-20,2597,99032,0.0262,8.48
2024-10-19,1939,78598,0.0247,9.19
2024-10-18,1979,89139,0.0222,9.01
2024-10-17,2378,107465,0.0221,8.49
2024-10-16,2404,106874,0.0225,8.55
2024-10-15,2462,109902,0.0224,8.44
2024-10-14,2475,112045,0.0221,8.29
2024-10-13,2244,105950,0.0212,8.5
2024-10-12,1380,75568,0.0183,9.42
2024-10-11,1696,88945,0.0191,8.81
2024-10-10,2351,104084,0.0226,8.27
2024-10-09,2524,107095,0.0236,8.01
2024-10-08,2640,108297,0.0244,8.44
2024-10-07,2509,107484,0.0233,8.0
2024-10-06,2173,92373,0.0235,8.28
2024-10-05,1342,74745,0.018,9.33
2024-10-04,1541,81529,0.0189,9.27
2024-10-03,2132,101999,0.0209,8.86
2024-10-02,2577,115250,0.0224,8.42
2024-10-01,2795,124051,0.0225,8.29
2024-09-30,2729,118490,0.023,8.57
2024-09-29,2480,103501,0.024,8.48
2024-09-28,1602,81005,0.0198,9.24
2024-09-27,2032,95763,0.0212,8.63
2024-09-26,2863,130107,0.022,7.89
2024-09-25,2715,124134,0.0219,8.07
2024-09-24,2821,126663,0.0223,8.04
2024-09-23,2741,126294,0.0217,8.01
2024-09-22,2446,107637,0.0227,8.43
2024-09-21,1481,80227,0.0185,8.88
2024-09-20,1916,96584,0.0198,8.44
2024-09-19,2649,121152,0.0219,7.93
2024-09-18,2896,126720,0.0229,8.36
2024-09-17,2877,126206,0.0228,8.03
2024-09-16,2975,125144,0.0238,8.1
2024-09-15,2706,109250,0.0248,8.34
2024-09-14,1503,79193,0.019,9.17
2024-09-13,1924,94321,0.0204,8.77
2024-09-12,2726,117689,0.0232,7.8
2024-09-11,3000,125185,0.024,7.96
2024-09-10,2894,122015,0.0237,7.91
2024-09-09,2775,114067,0.0243,8.02
2024-09-08,2208,97481,0.0227,8.16
2024-09-07,1501,75918,0.0198,7.96
2024-09-06,1687,82649,0.0204,8.29
2024-09-05,2068,98349,0.021,8.19
2024-09-04,1973,99514,0.0198,8.44
2024-09-03,1803,98302,0.0183,7.93
2024-09-02,1322,81602,0.0162,8.47
2024-09-01,1133,77330,0.0147,8.29
2024-08-31,1121,72445,0.0155,8.56
2024-08-30,949,64280,0.0148,9.13
2024-08-29,948,65160,0.0145,9.36
2024-08-28,883,62684,0.0141,9.33
2024-08-27,1027,62791,0.0164,9.04
