Top pages,Clicks,Impressions,CTR,Position
https://encyclopedia.ushmm.org/content/ru/article/world-war-i-abridged-article,43262,1647578,0.0263,7.83
https://encyclopedia.ushmm.org/content/ru/article/world-war-ii-key-dates,35297,1388366,0.0254,4.7
https://encyclopedia.ushmm.org/content/ru/article/victims-of-the-nazi-era-nazi-racial-ideology,22531,243917,0.0924,6.09
https://encyclopedia.ushmm.org/content/ru/article/world-war-i,18722,2035234,0.0092,5.92
https://encyclopedia.ushmm.org/content/ru/article/adolf-hitler,11011,1708573,0.0064,4.52
https://encyclopedia.ushmm.org/content/ru/article/introduction-to-the-holocaust,10999,795315,0.0138,4.66
https://encyclopedia.ushmm.org/content/ru/article/world-war-i-treaties-and-reparations,8516,176167,0.0483,5.38
https://encyclopedia.ushmm.org/content/ru/article/josef-mengele,7999,150147,0.0533,3.23
https://encyclopedia.ushmm.org/content/ru/article/the-armenian-genocide-1915-16-in-depth,7782,154615,0.0503,4.46
https://encyclopedia.ushmm.org/content/ru/article/history-of-the-swastika,7582,1083588,0.007,5.23
https://encyclopedia.ushmm.org/content/ru/article/auschwitz,7518,311222,0.0242,4.29
https://encyclopedia.ushmm.org/content/ru/article/hitler-comes-to-power,6445,810948,0.0079,8.17
https://encyclopedia.ushmm.org/content/ru/article/invasion-of-the-soviet-union-june-1941,5870,96527,0.0608,6.09
https://encyclopedia.ushmm.org/content/ru/article/invasion-of-poland-fall-1939,5831,60347,0.0966,4.57
https://encyclopedia.ushmm.org/content/ru/article/axis-powers-in-world-war-ii,5541,138070,0.0401,3.75
https://encyclopedia.ushmm.org/content/ru/article/racism-abridged-article,5507,254480,0.0216,4.11
https://encyclopedia.ushmm.org/content/ru/film/hitler-campaign-speech,4524,37329,0.1212,5.07
https://encyclopedia.ushmm.org/content/ru/article/mein-kampf,4235,172708,0.0245,5.65
https://encyclopedia.ushmm.org/content/ru/article/what-is-genocide,3879,284925,0.0136,4.05
https://encyclopedia.ushmm.org/content/ru/article/the-armenian-genocide-1915-16-overview,3869,126461,0.0306,4.7
https://encyclopedia.ushmm.org/content/ru/article/auschwitz-1,3715,285115,0.013,5.75
https://encyclopedia.ushmm.org/content/ru/article/aryan-1,3471,317208,0.0109,4.69
https://encyclopedia.ushmm.org/content/ru/article/world-war-ii-in-europe-abridged-article,3207,488535,0.0066,8.98
https://encyclopedia.ushmm.org/content/ru/article/kiev-and-babi-yar,3207,58649,0.0547,4.11
https://encyclopedia.ushmm.org/content/ru/article/nazi-camps,3005,89199,0.0337,6.53
https://encyclopedia.ushmm.org/content/ru/article/buchenwald-abridged-article,2831,70408,0.0402,4.89
https://encyclopedia.ushmm.org/content/ru/article/martin-niemoeller-first-they-came-for-the-socialists,2797,11570,0.2417,3.51
https://encyclopedia.ushmm.org/content/ru/article/axis-alliance-in-world-war-ii-abridged-article,2782,122204,0.0228,4.98
https://encyclopedia.ushmm.org/content/ru/article/german-soviet-pact,2733,135007,0.0202,5.54
https://encyclopedia.ushmm.org/content/ru/map/german-conquests-in-europe-1939-1942,2730,13427,0.2033,3.88
https://encyclopedia.ushmm.org/content/ru/article/killing-centers-an-overview,2348,38236,0.0614,4.88
https://encyclopedia.ushmm.org/content/ru/article/lesbians-under-the-nazi-regime,2294,169848,0.0135,9.09
https://encyclopedia.ushmm.org/content/ru/article/antisemitism-1,2240,51419,0.0436,7.91
https://encyclopedia.ushmm.org/content/ru/article/documenting-numbers-of-victims-of-the-holocaust-and-nazi-persecution,2191,27936,0.0784,6.66
