Top queries,Clicks,Impressions,CTR,Position
первая мировая война кратко,12275,42040,0.292,2.48
первая мировая война,9003,847505,0.0106,5.74
освенцим,4280,170254,0.0251,3.22
итоги первой мировой войны,4197,41092,0.1021,1.1
холокост,4104,308024,0.0133,4.1
начало второй мировой войны,3017,76176,0.0396,2.18
геноцид армян,2890,88917,0.0325,3.45
вторая мировая война,2886,456304,0.0063,5.57
ход первой мировой войны кратко,2783,5573,0.4994,1.06
геноцид,2756,102073,0.027,2.61
гитлер,2473,822301,0.003,4.64
почему немцы убивали евреев,2361,5767,0.4094,1.07
почему гитлер уничтожал евреев,2225,6437,0.3457,1.13
йозеф менгеле,2180,59555,0.0366,3.1
бабий яр,2066,52209,0.0396,4.02
почему гитлер не любил евреев,2031,13429,0.1512,1.76
бухенвальд,1935,59371,0.0326,4.94
холокост это,1890,340998,0.0055,4.86
лесбиянки,1877,164238,0.0114,8.98
какое из этих государств официально входило в число союзников гитлеровской  германии в годы великой отечественной войны?,1760,43385,0.0406,1.49
участники первой мировой войны,1674,12651,0.1323,1.12
как гитлер пришел к власти,1597,3765,0.4242,1.01
почему гитлер ненавидел евреев,1546,20856,0.0741,3.4
1 мировая война кратко,1480,5452,0.2715,2.72
майн кампф,1461,94267,0.0155,5.07
свастика,1341,590318,0.0023,5.44
геноцид армян турками,1292,6321,0.2044,1.13
хронология второй мировой войны,1258,2344,0.5367,1.12
1 мировая война,1255,128530,0.0098,5.47
адольф гитлер,1192,346815,0.0034,4.99
пакт молотова риббентропа,1121,82229,0.0136,5.72
первая мировая война кто с кем воевал,1061,10199,0.104,1.05
почему убивали евреев,1032,3694,0.2794,1.29
первая мировая война дата,1011,99747,0.0101,4.7
концлагеря германии,997,7319,0.1362,1.53
протоколы сионских мудрецов,965,14996,0.0644,4.03
первая мировая война участники,954,7548,0.1264,1.05
аушвиц,951,45544,0.0209,2.6
почему гитлер убивал евреев,933,4449,0.2097,1.33
основные события второй мировой войны таблица,864,5101,0.1694,1.92
2 мировая война годы,857,20627,0.0415,1.08
менгеле,843,40111,0.021,3.53
вторая мировая война кратко,838,13040,0.0643,5.79
окончание второй мировой войны,804,22095,0.0364,8.59
нападение германии на ссср,804,9274,0.0867,1.62
когда началась вторая мировая война,794,146163,0.0054,3.32
