Date,Clicks,Impressions,CTR,Position
2024-12-31,195,15259,0.0128,11.25
2024-12-30,255,16433,0.0155,10.84
2024-12-29,300,18082,0.0166,9.91
2024-12-28,235,15507,0.0152,10.71
2024-12-27,228,15173,0.015,10.49
2024-12-26,276,16831,0.0164,9.38
2024-12-25,333,19012,0.0175,8.96
2024-12-24,220,15495,0.0142,10.69
2024-12-23,302,17915,0.0169,9.77
2024-12-22,367,18883,0.0194,9.49
2024-12-21,227,16149,0.0141,10.28
2024-12-20,212,16145,0.0131,10.75
2024-12-19,357,19292,0.0185,10.27
2024-12-18,348,20050,0.0174,10.16
2024-12-17,421,20353,0.0207,10.18
2024-12-16,354,19836,0.0178,10.34
2024-12-15,361,20392,0.0177,9.49
2024-12-14,266,17745,0.015,10.29
2024-12-13,244,17704,0.0138,11.57
2024-12-12,492,22054,0.0223,10.96
2024-12-11,483,22512,0.0215,10.4
2024-12-10,438,22225,0.0197,10.37
2024-12-09,472,23601,0.02,10.15
2024-12-08,587,25217,0.0233,9.71
2024-12-07,328,19969,0.0164,11.09
2024-12-06,290,19118,0.0152,11.78
2024-12-05,654,25258,0.0259,10.71
2024-12-04,767,26445,0.029,10.78
2024-12-03,726,28273,0.0257,11.24
2024-12-02,824,26261,0.0314,9.56
2024-12-01,851,26126,0.0326,9.24
2024-11-30,418,19415,0.0215,10.84
2024-11-29,388,18511,0.021,11.12
2024-11-28,763,25355,0.0301,10.24
2024-11-27,901,25785,0.0349,9.49
2024-11-26,923,26621,0.0347,9.66
2024-11-25,844,27727,0.0304,9.85
2024-11-24,1003,28212,0.0356,9.37
2024-11-23,395,19300,0.0205,11.08
2024-11-22,345,18123,0.019,11.35
2024-11-21,754,26767,0.0282,10.95
2024-11-20,981,30562,0.0321,11.23
2024-11-19,931,29508,0.0316,10.68
2024-11-18,1031,30185,0.0342,10.22
2024-11-17,1021,31023,0.0329,10.08
2024-11-16,408,20980,0.0194,11.74
2024-11-15,334,19957,0.0167,12.83
2024-11-14,783,26158,0.0299,11.58
2024-11-13,583,24833,0.0235,13.54
2024-11-12,792,28185,0.0281,13.6
2024-11-11,813,28391,0.0286,12.21
2024-11-10,875,29577,0.0296,10.41
2024-11-09,498,21478,0.0232,11.93
2024-11-08,354,20787,0.017,13.58
2024-11-07,717,27295,0.0263,12.14
2024-11-06,833,28472,0.0293,11.0
2024-11-05,734,27332,0.0269,11.05
2024-11-04,715,26942,0.0265,10.48
2024-11-03,705,27097,0.026,10.42
2024-11-02,305,18917,0.0161,11.83
2024-11-01,270,18675,0.0145,12.52
2024-10-31,635,25277,0.0251,10.98
2024-10-30,636,25919,0.0245,11.15
2024-10-29,629,26824,0.0234,10.97
2024-10-28,656,26183,0.0251,10.75
2024-10-27,706,26505,0.0266,10.06
2024-10-26,332,19706,0.0168,11.23
2024-10-25,297,19469,0.0153,12.19
2024-10-24,480,24250,0.0198,11.39
2024-10-23,546,24552,0.0222,10.5
2024-10-22,543,26500,0.0205,11.46
2024-10-21,524,26362,0.0199,11.41
2024-10-20,493,25695,0.0192,11.39
2024-10-19,314,20925,0.015,11.61
2024-10-18,290,20318,0.0143,11.84
2024-10-17,463,23864,0.0194,11.02
2024-10-16,424,23884,0.0178,10.93
2024-10-15,445,23531,0.0189,10.71
2024-10-14,427,22268,0.0192,10.96
2024-10-13,428,25013,0.0171,11.24
2024-10-12,281,19838,0.0142,11.73
2024-10-11,294,18982,0.0155,12.06
2024-10-10,436,22999,0.019,11.7
2024-10-09,398,24131,0.0165,11.55
2024-10-08,305,20093,0.0152,12.84
2024-10-07,387,23429,0.0165,11.23
2024-10-06,347,23957,0.0145,11.54
2024-10-05,213,19870,0.0107,12.62
2024-10-04,223,19106,0.0117,12.69
2024-10-03,258,22162,0.0116,12.91
2024-10-02,205,19024,0.0108,13.88
2024-10-01,363,23862,0.0152,12.13
2024-09-30,245,21655,0.0113,13.18
2024-09-29,364,25431,0.0143,11.53
2024-09-28,257,19340,0.0133,12.68
2024-09-27,209,18063,0.0116,13.41
2024-09-26,300,22302,0.0135,12.55
2024-09-25,308,23064,0.0134,12.62
2024-09-24,341,23434,0.0146,12.85
2024-09-23,363,23712,0.0153,12.3
2024-09-22,342,24356,0.014,12.0
2024-09-21,248,21173,0.0117,12.34
2024-09-20,225,19850,0.0113,13.36
2024-09-19,396,23156,0.0171,11.68
2024-09-18,355,24157,0.0147,11.53
2024-09-17,185,20485,0.009,14.59
2024-09-16,215,18984,0.0113,13.45
2024-09-15,217,18661,0.0116,13.71
2024-09-14,183,18324,0.01,13.24
2024-09-13,188,17797,0.0106,13.49
2024-09-12,293,20816,0.0141,11.8
2024-09-11,362,22907,0.0158,12.07
2024-09-10,374,23103,0.0162,11.99
2024-09-09,359,23010,0.0156,11.22
2024-09-08,359,25473,0.0141,12.76
2024-09-07,283,20124,0.0141,11.99
2024-09-06,171,18726,0.0091,12.78
2024-09-05,293,22883,0.0128,12.22
2024-09-04,286,24114,0.0119,12.12
2024-09-03,315,22346,0.0141,12.15
2024-09-02,377,23539,0.016,12.21
2024-09-01,380,23634,0.0161,11.74
2024-08-31,221,20229,0.0109,12.67
2024-08-30,202,20061,0.0101,13.14
2024-08-29,296,23012,0.0129,12.8
2024-08-28,291,22373,0.013,12.61
2024-08-27,354,23230,0.0152,12.1
2024-08-26,346,26304,0.0132,11.61
2024-08-25,322,23791,0.0135,12.48
2024-08-24,225,20746,0.0108,12.69
2024-08-23,229,19795,0.0116,13.45
2024-08-22,336,21880,0.0154,13.22
2024-08-21,305,21965,0.0139,13.1
2024-08-20,308,22445,0.0137,12.68
2024-08-19,289,21631,0.0134,12.74
2024-08-18,311,22823,0.0136,12.45
2024-08-17,307,21078,0.0146,12.91
2024-08-16,226,20961,0.0108,13.02
2024-08-15,334,24490,0.0136,11.69
2024-08-14,259,23364,0.0111,13.1
2024-08-13,296,23802,0.0124,12.54
2024-08-12,292,23520,0.0124,13.12
2024-08-11,235,23511,0.01,12.74
2024-08-10,224,22716,0.0099,12.81
2024-08-09,205,21586,0.0095,13.22
2024-08-08,219,23542,0.0093,13.22
2024-08-07,239,22149,0.0108,13.4
2024-08-06,222,22879,0.0097,13.02
2024-08-05,236,23660,0.01,13.34
2024-08-04,223,22962,0.0097,13.36
2024-08-03,212,21595,0.0098,13.51
2024-08-02,183,21091,0.0087,13.46
2024-08-01,223,21639,0.0103,13.85
2024-07-31,208,22259,0.0093,14.13
2024-07-30,253,23765,0.0106,13.41
2024-07-29,229,22527,0.0102,13.16
2024-07-28,229,23311,0.0098,13.08
2024-07-27,214,23598,0.0091,13.14
2024-07-26,229,23853,0.0096,13.31
2024-07-25,227,22405,0.0101,13.37
2024-07-24,228,22715,0.01,13.56
2024-07-23,235,21856,0.0108,13.43
2024-07-22,241,21723,0.0111,13.01
2024-07-21,252,22045,0.0114,12.82
2024-07-20,219,20021,0.0109,12.8
2024-07-19,197,20958,0.0094,13.3
2024-07-18,300,22990,0.013,13.12
2024-07-17,347,24121,0.0144,12.52
2024-07-16,422,25578,0.0165,12.14
2024-07-15,418,26093,0.016,12.1
2024-07-14,459,27459,0.0167,11.76
2024-07-13,247,21215,0.0116,13.13
2024-07-12,219,20720,0.0106,13.69
2024-07-11,439,26463,0.0166,12.81
2024-07-10,383,25461,0.015,12.64
2024-07-09,420,26188,0.016,12.22
2024-07-08,451,25792,0.0175,12.93
2024-07-07,431,25060,0.0172,12.29
2024-07-06,261,21829,0.012,13.26
2024-07-05,240,21787,0.011,13.98
2024-07-04,332,24515,0.0135,13.83
2024-07-03,270,23798,0.0113,12.77
2024-07-02,252,23968,0.0105,12.69
2024-07-01,254,24052,0.0106,12.49
2024-06-30,333,25156,0.0132,12.23
2024-06-29,277,26629,0.0104,12.65
2024-06-28,263,23599,0.0111,13.15
2024-06-27,356,28741,0.0124,11.26
2024-06-26,361,27053,0.0133,12.59
2024-06-25,378,26951,0.014,12.32
2024-06-24,363,24194,0.015,13.15
2024-06-23,404,25760,0.0157,12.4
2024-06-22,329,23172,0.0142,12.8
2024-06-21,284,22085,0.0129,14.26
2024-06-20,424,27173,0.0156,13.42
2024-06-19,384,27594,0.0139,12.58
2024-06-18,481,26424,0.0182,11.43
2024-06-17,473,27702,0.0171,11.61
2024-06-16,523,30019,0.0174,11.95
2024-06-15,428,25669,0.0167,12.09
2024-06-14,304,24409,0.0125,12.66
2024-06-13,459,28135,0.0163,12.2
2024-06-12,508,29516,0.0172,12.37
2024-06-11,513,31415,0.0163,11.9
2024-06-10,602,33778,0.0178,12.01
2024-06-09,629,32740,0.0192,13.18
2024-06-08,455,26762,0.017,13.41
2024-06-07,342,25139,0.0136,14.94
2024-06-06,488,28192,0.0173,13.8
2024-06-05,382,25094,0.0152,14.7
2024-06-04,424,26698,0.0159,14.22
2024-06-03,442,25267,0.0175,13.98
2024-06-02,516,27442,0.0188,12.98
2024-06-01,347,22148,0.0157,14.28
2024-05-31,279,21001,0.0133,15.48
2024-05-30,451,26832,0.0168,14.12
2024-05-29,442,28630,0.0154,13.69
2024-05-28,482,30321,0.0159,17.33
2024-05-27,501,35188,0.0142,22.66
2024-05-26,586,36076,0.0162,20.99
2024-05-25,333,29313,0.0114,24.43
2024-05-24,241,28032,0.0086,25.67
2024-05-23,423,33203,0.0127,21.7
2024-05-22,450,33823,0.0133,21.23
2024-05-21,375,33090,0.0113,21.7
2024-05-20,506,36124,0.014,23.42
2024-05-19,612,36892,0.0166,21.92
2024-05-18,340,29960,0.0113,23.29
2024-05-17,251,26829,0.0094,24.33
2024-05-16,443,30430,0.0146,22.98
2024-05-15,573,32737,0.0175,21.96
2024-05-14,303,25211,0.012,23.34
2024-05-13,439,27137,0.0162,18.43
2024-05-12,513,26147,0.0196,13.57
2024-05-11,317,20612,0.0154,15.26
2024-05-10,248,19131,0.013,15.37
2024-05-09,472,27587,0.0171,17.45
2024-05-08,493,37361,0.0132,21.74
2024-05-07,469,33390,0.014,22.8
2024-05-06,551,31767,0.0173,23.96
2024-05-05,321,26574,0.0121,24.58
2024-05-04,267,21340,0.0125,19.67
2024-05-03,237,18346,0.0129,16.15
2024-05-02,359,25013,0.0144,20.34
2024-05-01,374,29186,0.0128,23.9
2024-04-30,344,29515,0.0117,23.99
2024-04-29,391,35664,0.011,20.99
2024-04-28,322,28237,0.0114,23.68
2024-04-27,252,24519,0.0103,25.54
2024-04-26,218,23475,0.0093,26.02
2024-04-25,287,26788,0.0107,24.18
2024-04-24,376,27839,0.0135,22.64
2024-04-23,388,25721,0.0151,19.33
2024-04-22,376,23289,0.0161,13.77
2024-04-21,434,28829,0.0151,12.48
2024-04-20,254,21294,0.0119,14.23
2024-04-19,276,21007,0.0131,15.32
2024-04-18,396,23910,0.0166,13.88
2024-04-17,404,23956,0.0169,14.48
2024-04-16,465,24481,0.019,14.2
2024-04-15,551,25911,0.0213,13.85
2024-04-14,535,27017,0.0198,13.42
2024-04-13,263,21728,0.0121,15.05
2024-04-12,277,20226,0.0137,16.56
2024-04-11,440,24076,0.0183,15.33
2024-04-10,450,25558,0.0176,14.83
2024-04-09,320,21515,0.0149,16.34
2024-04-08,400,24949,0.016,14.81
2024-04-07,440,24342,0.0181,14.01
2024-04-06,234,19618,0.0119,15.23
2024-04-05,225,18867,0.0119,16.58
2024-04-04,459,24762,0.0185,14.48
2024-04-03,435,28021,0.0155,13.85
2024-04-02,392,23430,0.0167,14.88
2024-04-01,370,23313,0.0159,14.85
2024-03-31,429,23507,0.0182,13.95
2024-03-30,239,20182,0.0118,14.74
2024-03-29,232,19920,0.0116,16.81
2024-03-28,319,22275,0.0143,15.51
2024-03-27,336,21987,0.0153,15.29
2024-03-26,369,23439,0.0157,14.98
2024-03-25,382,23148,0.0165,14.6
2024-03-24,335,25756,0.013,14.41
2024-03-23,254,38010,0.0067,13.2
2024-03-22,223,19123,0.0117,15.25
2024-03-21,288,20751,0.0139,14.99
2024-03-20,310,21329,0.0145,14.94
2024-03-19,361,22051,0.0164,14.55
2024-03-18,317,22206,0.0143,15.12
2024-03-17,333,23041,0.0145,14.55
2024-03-16,236,19534,0.0121,15.26
2024-03-15,198,17911,0.0111,16.26
2024-03-14,358,19865,0.018,14.07
2024-03-13,334,20025,0.0167,14.42
2024-03-12,312,19849,0.0157,14.12
2024-03-11,314,20250,0.0155,14.61
2024-03-10,302,18331,0.0165,14.28
2024-03-09,226,17663,0.0128,15.32
2024-03-08,212,17462,0.0121,17.1
2024-03-07,234,21097,0.0111,19.24
2024-03-06,236,18937,0.0125,17.72
2024-03-05,233,18467,0.0126,18.56
2024-03-04,211,17080,0.0124,17.36
2024-03-03,203,16990,0.0119,16.84
2024-03-02,204,16078,0.0127,16.53
2024-03-01,229,16999,0.0135,17.28
2024-02-29,190,17944,0.0106,19.29
2024-02-28,202,17429,0.0116,17.99
2024-02-27,188,18344,0.0102,18.91
2024-02-26,258,18298,0.0141,18.65
2024-02-25,251,18296,0.0137,18.46
2024-02-24,202,17126,0.0118,18.92
2024-02-23,197,17576,0.0112,19.45
2024-02-22,196,18148,0.0108,18.97
2024-02-21,183,18484,0.0099,19.23
