Top pages,Clicks,Impressions,CTR,Position
https://encyclopedia.ushmm.org/content/ko/article/introduction-to-the-holocaust,6525,102328,0.0638,2.37
https://encyclopedia.ushmm.org/content/ko/article/world-war-i,3920,180166,0.0218,3.74
https://encyclopedia.ushmm.org/content/ko/article/auschwitz,3230,54907,0.0588,2.55
https://encyclopedia.ushmm.org/content/ko/film/hitler-campaign-speech,2630,20468,0.1285,3.54
https://encyclopedia.ushmm.org/content/ko/article/world-war-ii-key-dates,2477,329705,0.0075,4.87
https://encyclopedia.ushmm.org/content/ko/article/world-war-ii-in-europe,2153,358201,0.006,4.4
https://encyclopedia.ushmm.org/content/ko/article/holocaust-abridged-article,1650,79893,0.0207,4.26
https://encyclopedia.ushmm.org/content/ko/article/hitler-comes-to-power,1187,288803,0.0041,8.19
https://encyclopedia.ushmm.org/content/ko/article/nazi-racism,1060,49246,0.0215,6.65
https://encyclopedia.ushmm.org/content/ko/article/aryan-1,897,23222,0.0386,3.42
https://encyclopedia.ushmm.org/content/ko/article/adolf-hitler,832,289016,0.0029,7.22
https://encyclopedia.ushmm.org/content/ko/article/world-war-ii-in-europe-abridged-article,818,3544,0.2308,2.42
https://encyclopedia.ushmm.org/content/ko/article/gassing-operations-abridged-article,813,15417,0.0527,6.91
https://encyclopedia.ushmm.org/content/ko/gallery/auschwitz-photographs,811,3303,0.2455,2.63
https://encyclopedia.ushmm.org/content/ko/article/jewish-life-in-europe-before-the-holocaust,658,80391,0.0082,5.27
https://encyclopedia.ushmm.org/content/ko/article/history-of-the-swastika,632,16834,0.0375,4.57
https://encyclopedia.ushmm.org/content/ko/article/nazi-camps,598,15319,0.039,3.84
https://encyclopedia.ushmm.org/ko,572,24298,0.0235,8.48
https://encyclopedia.ushmm.org/content/ko/article/documenting-numbers-of-victims-of-the-holocaust-and-nazi-persecution,527,22854,0.0231,6.95
https://encyclopedia.ushmm.org/content/ko/article/nazi-rule,518,137014,0.0038,5.01
https://encyclopedia.ushmm.org/content/ko/article/what-is-genocide,507,18850,0.0269,3.87
https://encyclopedia.ushmm.org/content/ko/article/nazi-racism-an-overview,491,84293,0.0058,6.59
https://encyclopedia.ushmm.org/content/en/article/documenting-numbers-of-victims-of-the-holocaust-and-nazi-persecution,483,4209,0.1148,57.0
https://encyclopedia.ushmm.org/content/ko/article/the-nuremberg-trials,479,5429,0.0882,3.35
https://encyclopedia.ushmm.org/content/ko/article/auschwitz-1,471,37704,0.0125,5.0
https://encyclopedia.ushmm.org/content/ko/film/hitler-speaks-before-the-reichstag-german-parliament,455,13128,0.0347,6.36
https://encyclopedia.ushmm.org/content/ko/article/invasion-of-the-soviet-union-june-1941,453,34814,0.013,7.49
https://encyclopedia.ushmm.org/content/ko/article/world-war-i-abridged-article,434,156352,0.0028,5.1
https://encyclopedia.ushmm.org/content/en/article/introduction-to-the-holocaust,423,16906,0.025,27.35
https://encyclopedia.ushmm.org/content/ko/article/jews-in-prewar-germany,414,42356,0.0098,6.62
https://encyclopedia.ushmm.org/content/ko/article/adolf-eichmann-abridged-article,360,33538,0.0107,6.93
https://encyclopedia.ushmm.org/content/ko/article/the-murder-of-people-with-disabilities,355,13196,0.0269,6.28
https://encyclopedia.ushmm.org/content/ko/article/mein-kampf,334,59809,0.0056,6.96
