Top queries,Clicks,Impressions,CTR,Position
홀로코스트,3285,70953,0.0463,2.32
히틀러 연설,1928,16571,0.1163,2.85
아우슈비츠,1584,34147,0.0464,2.04
아우슈비츠 수용소,1343,12338,0.1089,2.19
유대인 학살,1004,9306,0.1079,1.42
히틀러,632,249627,0.0025,7.25
2차 세계대전,609,93746,0.0065,3.8
나치,528,118911,0.0044,3.9
1차 세계대전,501,74856,0.0067,3.74
아우슈비츠 사진,500,1379,0.3626,1.0
유대인,496,73373,0.0068,5.91
홀로코스트 백과사전,491,643,0.7636,1.0
홀로코스트 뜻,488,8470,0.0576,2.71
1차 세계대전 요약,487,1430,0.3406,1.24
2차 세계대전 요약,401,4794,0.0836,2.89
홀로코스트 사진,331,891,0.3715,1.06
세계1차대전 요약,331,640,0.5172,1.04
1차 세계대전 정리,314,752,0.4176,1.0
아우슈비츠 생존자 증언,304,1076,0.2825,1.01
스와스티카,298,5157,0.0578,1.89
뉘른베르크 재판,292,6190,0.0472,3.01
아리아인,280,20494,0.0137,3.41
인종차별,258,51461,0.005,6.65
제2차세계대전,247,17570,0.0141,3.18
holocaust,237,11913,0.0199,2.53
히틀러 유대인 학살,229,738,0.3103,1.04
홀로코스트 영화,227,6855,0.0331,4.77
게슈타포,226,14155,0.016,2.49
홀로코스트 이유,222,872,0.2546,1.83
제1차 세계대전,219,17134,0.0128,2.79
홀로코스트 가스실,217,433,0.5012,1.0
오스카 쉰들러,211,3596,0.0587,2.4
2차 세계대전 사망자,210,1871,0.1122,1.21
세계2차대전,205,19060,0.0108,3.51
아우슈비츠 위치,202,764,0.2644,2.39
수정의 밤,198,1200,0.165,1.82
제1차 세계대전 요약,196,347,0.5648,1.03
2차세계대전,195,34722,0.0056,3.83
안네 프랑크,195,10971,0.0178,4.13
루돌프 회스,195,8999,0.0217,7.42
2차 세계대전 참전 순서,192,331,0.5801,1.0
안슐루스,188,12087,0.0156,2.21
홀로코스트 요약,187,280,0.6679,1.01
포그롬,181,1194,0.1516,1.4
나치 수용소,181,665,0.2722,1.09
아돌프 아이히만,180,7727,0.0233,4.76
아우슈비츠 가스실,180,937,0.1921,1.76
유대인 학살 이유,179,2470,0.0725,2.35
히틀러 연설문,178,1584,0.1124,5.46
반유대주의,172,4598,0.0374,3.04
나치즘,171,10054,0.017,4.4
아돌프 히틀러,170,37619,0.0045,6.25
제 2차 세계대전,169,9749,0.0173,3.4
아우슈비츠 수용소 가스실,166,326,0.5092,1.1
제노사이드,160,22396,0.0071,6.08
뉘른베르크 법,159,516,0.3081,1.63
제노사이드 뜻,158,4115,0.0384,2.31
베르사유 조약,157,12471,0.0126,4.22
유태인,157,8913,0.0176,3.69
ss,156,167020,0.0009,5.31
게토,152,72174,0.0021,6.6
히틀러 장애인,152,474,0.3207,1.16
swastika,150,9798,0.0153,4.8
제2차 세계대전,143,10671,0.0134,3.45
2차 세계대전 결과,139,484,0.2872,1.12
1차세계대전,138,25712,0.0054,3.76
가스실,133,2190,0.0607,2.31
제 1차 세계대전,128,8292,0.0154,2.87
히틀러 연설 대본,128,2621,0.0488,7.28
세계1차대전,127,13933,0.0091,4.08
아이히만,126,18236,0.0069,6.75
괴벨스,124,57955,0.0021,9.45
히틀러 청소년단,123,308,0.3994,1.12
아우슈비츠 수용소 사진,121,193,0.6269,1.0
유대인학살,117,422,0.2773,1.4
나치 생체실험,115,521,0.2207,4.59
아우슈비츠 가스 종류,114,160,0.7125,1.0
세계대전,113,11885,0.0095,4.26
히틀러 연설 발음,112,557,0.2011,5.15
유대인 대학살,112,299,0.3746,1.16
히틀러 업적,110,1897,0.058,2.89
나치 유대인,110,359,0.3064,1.24
히틀러 우생학,108,259,0.417,1.92
제 1차 세계대전 요약,108,183,0.5902,1.06
kristallnacht,107,736,0.1454,1.55
히틀러 연설 원본,105,1369,0.0767,5.92
아리아인 히틀러,103,269,0.3829,1.28
나치 홀로코스트,102,189,0.5397,1.1
세계 2차대전,99,9531,0.0104,3.62
히틀러 아리아인,99,192,0.5156,1.23
유대인 수용소,97,478,0.2029,2.1
나치 유대인 학살,97,171,0.5673,1.02
아리안족,96,1190,0.0807,2.64
히틀러 유대인 학살 이유,96,660,0.1455,2.26
뉘른베르크법,95,269,0.3532,1.83
유대인 가스실,95,219,0.4338,1.42
홀로코스트 사건,95,159,0.5975,1.0
독일 홀로코스트,93,186,0.5,1.03
아우슈비츠 여성,93,152,0.6118,1.0
2차세계대전 사망자,92,402,0.2289,1.1
나의 투쟁,91,42553,0.0021,6.95
최종해결책,91,220,0.4136,1.5
2차세계대전 사망자수,90,630,0.1429,1.5
부헨발트,90,208,0.4327,2.62
독일 유대인,87,207,0.4203,1.05
홀로코스트 생존자,87,142,0.6127,1.0
홀로코스트 사망자 수,87,128,0.6797,1.32
아리아인 외모,86,1510,0.057,2.21
히틀러 2차세계대전,86,309,0.2783,3.0
나치 프로파간다,86,149,0.5772,1.01
나치 독일,85,19492,0.0044,5.3
히틀러 유대인,85,1569,0.0542,2.51
2차대전 사망자,85,455,0.1868,1.29
2차세계대전 원인,82,5671,0.0145,5.34
마우트하우젠 수용소,82,127,0.6457,1.73
홀로코스트 전개과정,82,103,0.7961,1.0
수용소,81,7631,0.0106,3.42
독소전쟁,80,14576,0.0055,5.12
시온의정서,80,1221,0.0655,4.69
홀로코스트 인권침해,79,110,0.7182,1.01
아인자츠그루펜,76,1104,0.0688,1.99
the holocaust,76,545,0.1394,1.45
유대인 학살 수,76,125,0.608,1.24
유대인 학살 사진,76,113,0.6726,1.01
1차 세계대전 참전국,74,232,0.319,1.01
히틀러 홀로코스트,74,116,0.6379,1.02
히틀러 독재,72,121,0.595,1.24
안락사,71,48866,0.0015,9.26
쉰들러,71,6894,0.0103,7.0
유대인 게토,71,144,0.4931,1.24
2차 세계대전 전범국,70,156,0.4487,1.75
히틀러연설,70,128,0.5469,2.08
1차세계대전 원인,69,3293,0.021,5.27
인종주의,69,2790,0.0247,5.8
베를린 올림픽,69,1517,0.0455,2.15
유대인 홀로코스트,69,106,0.6509,1.07
1차 세계대전 발발 원인,68,1527,0.0445,3.88
엘리 위젤,68,332,0.2048,3.51
히틀러 사상,64,190,0.3368,2.08
나치 우생학,64,156,0.4103,3.53
집시,63,32074,0.002,7.56
genocide 뜻,63,1767,0.0357,2.01
죽음의 행진,63,130,0.4846,1.9
전범국 리스트,63,119,0.5294,1.22
아우슈비츠 지도,63,83,0.759,1.0
존더코만도,62,1841,0.0337,4.66
독소불가침조약,62,1544,0.0402,3.12
유대인 구별,62,462,0.1342,2.19
세계2차대전 요약,62,156,0.3974,2.58
2차대전,61,12880,0.0047,4.53
제1차세계대전,61,2237,0.0273,2.82
armenian genocide,61,432,0.1412,2.5
작센하우젠 수용소,61,162,0.3765,2.56
히틀러 집권,61,104,0.5865,1.2
홀로코스트 수용소,61,99,0.6162,1.23
세계 1차 대전 요약,60,86,0.6977,1.08
체코슬로바키아,59,13214,0.0045,7.46
독일 수용소,59,137,0.4307,1.44
나치 선전,59,96,0.6146,1.0
뉘른베르크 인종법,59,95,0.6211,1.34
나치 아리아인,59,83,0.7108,1.04
세계 1차대전 요약,58,77,0.7532,1.03
트레블링카,57,1443,0.0395,2.12
스와스티카 뜻,57,154,0.3701,1.01
홀로코스트 결과,57,81,0.7037,1.06
히틀러 유대인 싫어한 이유,56,387,0.1447,1.65
나치 가스실,56,122,0.459,1.64
1차 세계대전 영향,56,96,0.5833,1.95
마우트하우젠,56,90,0.6222,2.14
히틀러 연설 영상,55,122,0.4508,4.55
테레지엔슈타트,55,79,0.6962,2.43
러시아 유대인 학살,54,79,0.6835,1.04
홀로코스트 희생자 수,54,70,0.7714,1.26
폴란드 침공,53,4783,0.0111,3.31
반제회의,53,170,0.3118,2.22
최종 해결책,52,131,0.3969,1.87
크리스탈나흐트,52,97,0.5361,1.24
게슈타포 고문,52,96,0.5417,1.05
백과사전,51,14689,0.0035,9.91
2차 세계대전 인권 유린 사례,51,247,0.2065,2.19
홀로코스트 사례,51,119,0.4286,1.08
세계 1차대전,50,7150,0.007,4.06
전쟁 시체,50,134,0.3731,4.34
히틀러 선거,50,104,0.4808,1.82
독일 아리아인,50,65,0.7692,1.22
제2차 세계대전 전개,50,64,0.7812,1.03
바르샤바,49,31634,0.0015,8.67
mein kampf,49,9155,0.0054,5.86
2차 세계대전 사상자,49,252,0.1944,1.17
독일 소련 침공,49,101,0.4851,1.05
holocaust encyclopedia,49,56,0.875,1.0
바르바로사 작전,48,7286,0.0066,4.63
아우슈비츠 수용소 위치,48,293,0.1638,2.96
바르샤바 게토 봉기,48,84,0.5714,2.02
유태인 학살,48,77,0.6234,1.0
베르겐벨젠 수용소,48,72,0.6667,1.21
나치당 집권,47,82,0.5732,1.74
히틀러의 유대인 학살,47,66,0.7121,1.0
auschwitz,46,5015,0.0092,6.23
swastika 뜻,46,134,0.3433,1.49
히틀러 연설 풀버전,46,133,0.3459,4.57
nazi propaganda,46,94,0.4894,1.02
나치 유대인 학살 이유,46,74,0.6216,1.22
2차 세계대전 전개,46,59,0.7797,1.05
제3제국,45,2435,0.0185,3.89
세계 2차 대전,45,1532,0.0294,3.68
2차 세계대전 종전일,45,154,0.2922,1.29
우크라이나 유대인 학살,45,78,0.5769,2.08
아돌프 히틀러 연설,45,59,0.7627,2.34
홀로코스트 생체실험,44,128,0.3438,3.03
유대인 학살 사건,44,80,0.55,1.0
르완다,43,29985,0.0014,10.95
나치당,42,5473,0.0077,3.94
우스타샤,42,1049,0.04,4.31
독소 불가침 조약,42,607,0.0692,3.13
nuremberg laws,42,95,0.4421,1.2
홀로코스트 원인,42,74,0.5676,1.0
나치 유대인 구별,42,68,0.6176,1.65
히틀러 인종주의,42,60,0.7,1.03
홀로코스트 유대인,42,60,0.7,1.13
1차 세계대전 사망자 수,41,647,0.0634,3.92
josef mengele,41,640,0.0641,2.93
홀로코스트 배경,41,75,0.5467,1.24
뉘른베르크,40,14003,0.0029,9.41
oskar schindler,40,1921,0.0208,4.75
대량학살,40,197,0.203,2.81
1차 세계대전 이후 독일,40,50,0.8,1.14
hitler speech,39,218,0.1789,5.5
2차 세계대전 종전,39,109,0.3578,1.27
독일 유대인 학살 이유,39,89,0.4382,1.94
베르사유 조약 요약,39,75,0.52,1.16
독일 유대인 학살,39,64,0.6094,1.08
나치 독가스,39,51,0.7647,1.0
독일 항복,38,276,0.1377,1.06
유대인 구별법,38,166,0.2289,2.7
폴란드 아우슈비츠,38,121,0.314,2.07
제1차 세계 대전 요약,38,75,0.5067,1.09
바비야르 학살,38,67,0.5672,1.45
judaism,37,3012,0.0123,5.03
토론 주제,37,1730,0.0214,10.97
나치 만행,37,83,0.4458,2.92
나치수용소,37,56,0.6607,1.04
베르겐 벨젠 수용소,36,92,0.3913,1.15
유대인 차별,36,76,0.4737,3.05
히틀러 선동,36,75,0.48,1.0
유대인 독일 관계,36,59,0.6102,1.27
히틀러 연설문 전문,36,50,0.72,4.3
추축국,35,20506,0.0017,4.66
1차대전,35,12195,0.0029,3.45
게슈타포 뜻,35,421,0.0831,1.85
나의투쟁 pdf,35,270,0.1296,6.96
수정의밤,35,92,0.3804,1.58
히틀러 가스실,35,74,0.473,1.74
나치가 유대인을 학살한 이유,35,66,0.5303,1.14
수정의 밤 사건,35,66,0.5303,1.47
히틀러 학살,35,66,0.5303,1.5
how many jews died in the holocaust,35,61,0.5738,1.92
2차 세계대전 독일 항복,35,60,0.5833,1.0
how many people did hitler kill,35,57,0.614,1.0
나치 흑인,35,56,0.625,1.09
2차 세계대전 사진,35,55,0.6364,1.02
히틀러 정책,35,44,0.7955,1.57
독일 폴란드 침공,34,602,0.0565,3.48
강제수용소,34,89,0.382,3.89
2차 세계대전 시작,34,76,0.4474,1.42
히틀러의 연설,34,37,0.9189,1.46
점령지,33,12052,0.0027,6.02
짐 크로우 법,33,508,0.065,4.94
주축국,33,398,0.0829,1.67
1차 세계대전 승전국,33,156,0.2115,2.69
히틀러 인종,33,80,0.4125,2.26
1차 세계대전 발발,33,48,0.6875,1.0
1920년대 독일,33,47,0.7021,1.89
히틀러가 전쟁을 일으킨 이유,33,45,0.7333,1.87
흑인,32,33223,0.001,5.94
학살,32,26100,0.0012,6.11
제 2 차 세계 대전,32,901,0.0355,3.44
ghffhzhtmxm,32,120,0.2667,2.06
홀로코스트 영화 추천,32,116,0.2759,4.81
대량학살 사례,32,62,0.5161,1.47
2차 세계대전 동맹국,32,58,0.5517,1.78
1차세계대전 참전국,32,52,0.6154,1.0
how many jews were killed in the holocaust,32,44,0.7273,1.43
아리아인 나치,32,43,0.7442,1.02
아우슈비츠수용소,32,41,0.7805,1.44
아우슈비츠 가스,32,38,0.8421,1.05
말살,31,1473,0.021,5.67
역사상 가장 큰 전쟁,31,154,0.2013,2.29
1936년 베를린 올림픽,31,117,0.265,1.98
히틀러 연설문 대본,31,67,0.4627,6.22
