Date,Clicks,Impressions,CTR,Position
2024-12-31,1512,81836,0.0185,5.61
2024-12-30,1387,80576,0.0172,5.8
2024-12-29,1626,93116,0.0175,5.61
2024-12-28,1371,74276,0.0185,5.97
2024-12-27,1120,60211,0.0186,6.12
2024-12-26,1332,67936,0.0196,5.85
2024-12-25,1389,69709,0.0199,5.87
2024-12-24,1346,69177,0.0195,5.77
2024-12-23,1403,66529,0.0211,5.81
2024-12-22,1777,80294,0.0221,5.54
2024-12-21,1512,74264,0.0204,6.18
2024-12-20,1196,59814,0.02,6.39
2024-12-19,1433,67180,0.0213,5.93
2024-12-18,1312,65826,0.0199,6.03
2024-12-17,1371,63887,0.0215,5.93
2024-12-16,1413,64866,0.0218,6.13
2024-12-15,1703,80638,0.0211,5.35
2024-12-14,1419,71415,0.0199,5.46
2024-12-13,1260,64491,0.0195,5.66
2024-12-12,1465,76262,0.0192,5.59
2024-12-11,1635,74906,0.0218,5.78
2024-12-10,1616,79771,0.0203,5.69
2024-12-09,1733,79527,0.0218,5.7
2024-12-08,1714,95318,0.018,5.37
2024-12-07,1718,88593,0.0194,5.59
2024-12-06,1211,67033,0.0181,6.0
2024-12-05,1486,81265,0.0183,5.76
2024-12-04,1558,82469,0.0189,5.9
2024-12-03,1565,87883,0.0178,5.54
2024-12-02,1476,86130,0.0171,5.5
2024-12-01,1632,105463,0.0155,5.29
2024-11-30,1553,93897,0.0165,5.29
2024-11-29,1393,74085,0.0188,5.76
2024-11-28,1574,95069,0.0166,5.41
2024-11-27,1725,97733,0.0177,5.58
2024-11-26,1743,102428,0.017,5.59
2024-11-25,1659,95148,0.0174,6.25
2024-11-24,1879,122143,0.0154,5.41
2024-11-23,1732,109387,0.0158,5.45
2024-11-22,1559,92061,0.0169,5.81
2024-11-21,1973,137589,0.0143,5.56
2024-11-20,1853,114296,0.0162,5.67
2024-11-19,1882,117293,0.016,5.58
2024-11-18,1857,104076,0.0178,5.83
2024-11-17,1854,106140,0.0175,5.76
2024-11-16,1499,96007,0.0156,5.88
2024-11-15,1358,81845,0.0166,6.01
2024-11-14,1427,81826,0.0174,6.37
2024-11-13,1524,95522,0.016,5.99
2024-11-12,1449,82511,0.0176,6.21
2024-11-11,1458,90714,0.0161,5.91
2024-11-10,1532,85876,0.0178,5.88
2024-11-09,1433,79310,0.0181,5.95
2024-11-08,1156,72674,0.0159,6.18
2024-11-07,1607,119508,0.0134,5.84
2024-11-06,1904,148458,0.0128,5.61
2024-11-05,2271,186641,0.0122,5.52
2024-11-04,2347,172007,0.0136,5.6
2024-11-03,2448,175167,0.014,5.58
2024-11-02,1626,97330,0.0167,5.9
2024-11-01,1243,74044,0.0168,6.23
2024-10-31,2043,141987,0.0144,5.7
2024-10-30,1560,89770,0.0174,5.95
2024-10-29,1712,96272,0.0178,5.95
2024-10-28,1318,71179,0.0185,6.2
2024-10-27,1471,85612,0.0172,5.9
2024-10-26,1357,76036,0.0178,5.91
2024-10-25,1140,66169,0.0172,6.24
2024-10-24,1355,70938,0.0191,5.99
2024-10-23,1552,76802,0.0202,5.83
2024-10-22,1463,71296,0.0205,5.95
2024-10-21,1391,69007,0.0202,6.0
2024-10-20,1541,76222,0.0202,5.89
2024-10-19,1368,67925,0.0201,5.95
2024-10-18,1154,60493,0.0191,6.17
2024-10-17,1340,70913,0.0189,5.99
2024-10-16,1222,70138,0.0174,6.08
2024-10-15,1328,71346,0.0186,5.95
2024-10-14,1292,70580,0.0183,6.03
2024-10-13,1440,79288,0.0182,5.86
2024-10-12,1164,66135,0.0176,5.96
2024-10-11,990,63670,0.0155,5.87
2024-10-10,1270,71154,0.0178,5.92
2024-10-09,1272,71489,0.0178,5.9
2024-10-08,1333,75827,0.0176,5.85
2024-10-07,1545,81017,0.0191,5.76
2024-10-06,1396,77970,0.0179,5.72
2024-10-05,1281,75897,0.0169,5.81
2024-10-04,1026,62662,0.0164,6.06
2024-10-03,1235,70393,0.0175,5.94
2024-10-02,1466,81154,0.0181,5.72
2024-10-01,1645,93731,0.0176,5.54
2024-09-30,1157,68494,0.0169,6.04
2024-09-29,1917,120404,0.0159,5.79
2024-09-28,1062,64890,0.0164,5.96
2024-09-27,900,56695,0.0159,6.19
2024-09-26,1116,59857,0.0186,6.17
2024-09-25,1184,63599,0.0186,6.02
2024-09-24,1143,65551,0.0174,5.9
2024-09-23,933,58005,0.0161,6.18
2024-09-22,1062,61226,0.0173,6.06
2024-09-21,863,54991,0.0157,6.09
2024-09-20,933,55624,0.0168,5.99
2024-09-19,929,55829,0.0166,5.97
2024-09-18,909,54683,0.0166,6.31
2024-09-17,814,57975,0.014,6.54
2024-09-16,810,52869,0.0153,6.19
2024-09-15,911,60084,0.0152,6.06
2024-09-14,882,58968,0.015,5.97
2024-09-13,716,50910,0.0141,6.38
2024-09-12,805,52051,0.0155,6.12
2024-09-11,752,51232,0.0147,6.24
2024-09-10,726,52464,0.0138,5.97
2024-09-09,701,47790,0.0147,5.93
2024-09-08,908,55701,0.0163,5.87
2024-09-07,842,53533,0.0157,5.53
2024-09-06,762,51116,0.0149,5.7
2024-09-05,791,51923,0.0152,5.73
2024-09-04,810,52520,0.0154,5.78
2024-09-03,757,52244,0.0145,5.84
2024-09-02,836,54233,0.0154,5.71
2024-09-01,986,64780,0.0152,5.41
2024-08-31,998,65184,0.0153,5.22
2024-08-30,964,62755,0.0154,5.33
2024-08-29,905,59368,0.0152,5.48
2024-08-28,956,60170,0.0159,5.48
2024-08-27,922,60750,0.0152,5.53
2024-08-26,952,60571,0.0157,5.51
2024-08-25,1000,62167,0.0161,5.41
2024-08-24,964,61411,0.0157,5.55
2024-08-23,1004,66761,0.015,5.5
2024-08-22,879,59595,0.0147,5.67
2024-08-21,919,59946,0.0153,5.62
2024-08-20,986,58557,0.0168,5.59
2024-08-19,1091,59180,0.0184,5.61
2024-08-18,1237,64536,0.0192,5.5
2024-08-17,917,56921,0.0161,5.58
2024-08-16,922,62807,0.0147,5.44
2024-08-15,1069,65903,0.0162,5.62
2024-08-14,1024,73956,0.0138,6.22
2024-08-13,1034,68050,0.0152,5.94
2024-08-12,1065,69692,0.0153,6.0
2024-08-11,1046,73075,0.0143,6.72
2024-08-10,957,69123,0.0138,6.39
2024-08-09,1040,69426,0.015,6.27
2024-08-08,1076,76981,0.014,6.51
2024-08-07,1069,77580,0.0138,6.35
2024-08-06,1040,73784,0.0141,6.65
2024-08-05,1109,74365,0.0149,6.64
2024-08-04,1300,80901,0.0161,6.25
2024-08-03,1198,79605,0.015,6.36
2024-08-02,1313,87660,0.015,6.27
2024-08-01,1103,72174,0.0153,6.38
2024-07-31,1331,83139,0.016,6.13
2024-07-30,1204,76661,0.0157,6.34
2024-07-29,1267,78927,0.0161,6.15
2024-07-28,1214,77997,0.0156,6.02
2024-07-27,1238,78139,0.0158,5.87
2024-07-26,1142,79552,0.0144,7.39
2024-07-25,1060,82156,0.0129,6.59
2024-07-24,947,65472,0.0145,6.1
2024-07-23,846,60771,0.0139,6.22
2024-07-22,861,61220,0.0141,6.34
2024-07-21,951,63886,0.0149,5.94
2024-07-20,881,59037,0.0149,5.99
