Top pages,Clicks,Impressions,CTR,Position
https://encyclopedia.ushmm.org/content/tr/article/world-war-i,30670,1913019,0.016,4.22
https://encyclopedia.ushmm.org/content/tr/article/world-war-ii-in-europe-abridged-article,17897,1129205,0.0158,4.33
https://encyclopedia.ushmm.org/content/tr/article/the-armenian-genocide-1915-16-in-depth,14350,219376,0.0654,5.03
https://encyclopedia.ushmm.org/content/tr/article/world-war-ii-key-dates,9061,1417678,0.0064,5.68
https://encyclopedia.ushmm.org/content/tr/map/the-dissolution-of-the-ottoman-empire-1807-1924,8497,531773,0.016,2.78
https://encyclopedia.ushmm.org/content/tr/gallery/greece-maps,7316,155704,0.047,1.78
https://encyclopedia.ushmm.org/content/tr/article/victims-of-the-nazi-era-nazi-racial-ideology,7207,199522,0.0361,6.82
https://encyclopedia.ushmm.org/content/tr/article/axis-powers-in-world-war-ii,7010,304062,0.0231,4.3
https://encyclopedia.ushmm.org/content/tr/film/hitler-campaign-speech,6986,29210,0.2392,4.2
https://encyclopedia.ushmm.org/content/tr/article/adolf-hitler-key-dates,6349,1194542,0.0053,5.87
https://encyclopedia.ushmm.org/content/tr/article/documenting-numbers-of-victims-of-the-holocaust-and-nazi-persecution,6162,53131,0.116,5.61
https://encyclopedia.ushmm.org/content/tr/article/adolf-hitler,5737,1108776,0.0052,5.36
https://encyclopedia.ushmm.org/content/tr/article/world-war-i-abridged-article,4010,962997,0.0042,6.44
https://encyclopedia.ushmm.org/content/tr/article/nazi-medical-experiments,3184,12483,0.2551,3.06
https://encyclopedia.ushmm.org/content/tr/article/introduction-to-the-holocaust,3065,229690,0.0133,3.16
https://encyclopedia.ushmm.org/content/tr/article/the-armenian-genocide-1915-16-overview,2581,108517,0.0238,5.23
https://encyclopedia.ushmm.org/content/tr/article/aryan-1,2529,105283,0.024,3.63
https://encyclopedia.ushmm.org/content/tr/article/history-of-the-swastika,2436,275810,0.0088,4.57
https://encyclopedia.ushmm.org/content/tr/article/auschwitz,2108,103918,0.0203,4.18
https://encyclopedia.ushmm.org/content/tr/article/josef-mengele,1985,36354,0.0546,2.89
https://encyclopedia.ushmm.org/content/tr/article/world-war-ii-in-europe-1,1957,161233,0.0121,2.88
https://encyclopedia.ushmm.org/content/tr/article/gassing-operations,1956,11364,0.1721,3.72
https://encyclopedia.ushmm.org/content/tr/article/world-war-i-aftermath,1885,109495,0.0172,5.11
https://encyclopedia.ushmm.org/content/tr/article/nazi-camps,1824,36782,0.0496,3.65
https://encyclopedia.ushmm.org/content/tr/article/foundations-of-the-nazi-state,1591,316256,0.005,5.13
https://encyclopedia.ushmm.org/content/tr/article/antisemitism,1486,155994,0.0095,3.22
https://encyclopedia.ushmm.org/content/tr/article/world-war-ii-in-europe,1450,787103,0.0018,6.43
https://encyclopedia.ushmm.org/content/tr/photo/propaganda-slide-in-a-hitler-youth-educational-presentation,1449,5258,0.2756,5.02
