Top queries,Clicks,Impressions,CTR,Position
yunanistan haritası,3666,82458,0.0445,1.56
ermeni soykırımı,3601,40171,0.0896,3.05
itilaf devletleri,3282,236362,0.0139,1.07
adolf hitler,3168,605973,0.0052,3.87
ermeni soykırımı nedir,2893,21421,0.1351,2.8
osmanlı haritası,2813,138861,0.0203,1.13
2. dünya savaşı,2599,241070,0.0108,3.31
1. dünya savaşı,2433,225420,0.0108,4.5
1. dünya savaşı özeti,2081,11855,0.1755,1.06
hitler,1955,452611,0.0043,5.22
ikinci dünya savaşı,1596,125704,0.0127,4.5
mihver devletler,1382,60971,0.0227,1.66
hitler konuşma metni,1291,2442,0.5287,1.01
2. dünya savaşı tarihi,1260,90467,0.0139,2.76
itilaf ve ittifak devletleri,1228,30127,0.0408,1.08
2.dünya savaşı,1218,84022,0.0145,3.32
josef mengele deneyleri,1172,3694,0.3173,1.61
adolf hitler kimdir,1121,34144,0.0328,4.46
1.dünya savaşı,1074,65476,0.0164,4.33
ermeni meselesi,1074,12285,0.0874,4.24
josef mengele,1018,24956,0.0408,2.87
ikinci dünya savaşı tarihi,1002,48979,0.0205,2.13
nazi deneyleri,920,2415,0.381,1.57
oskar schindler,915,37742,0.0242,3.28
holokost nedir,901,69966,0.0129,2.51
hitler kaç yahudi öldürdü,886,2839,0.3121,1.9
holokost,877,50437,0.0174,2.91
1.dünya savaşı nasıl başladı,807,15965,0.0505,1.15
auschwitz,793,71283,0.0111,3.72
hitler kimdir,792,38249,0.0207,4.63
1. dünya savaşı itilaf ve ittifak devletleri,768,16969,0.0453,1.05
1. dünya savaşı sonuçları,765,41435,0.0185,4.54
birinci dünya savaşı,721,70535,0.0102,5.98
ermeni tehciri,698,20219,0.0345,4.06
2.dünya savaşı nasıl başladı,670,8507,0.0788,1.03
hitler konuşması,661,2922,0.2262,1.95
adolf hitler kaç kişinin ölümüne sebep oldu,659,10668,0.0618,4.27
ermeni sorunu,651,6119,0.1064,4.24
yunanistan harita,637,15382,0.0414,1.37
1. dünya savaşı itilaf devletleri,598,26027,0.023,1.1
struma gemisi,570,29234,0.0195,3.62
anne frank,568,70443,0.0081,6.18
yunanistan haritası türkçe,561,17162,0.0327,1.33
ss,553,393760,0.0014,3.79
2. dünya savaşı özet,550,1014,0.5424,1.04
nazi almanyası,537,117434,0.0046,5.25
auschwitz kampı,530,24220,0.0219,2.83
1. dünya savaşı taraflar,529,6448,0.082,1.03
hitler neden yahudileri öldürdü,528,2201,0.2399,1.01
nazi,515,138842,0.0037,4.16
hitler kaç kişiyi öldürdü,498,1014,0.4911,1.18
2. dünya savaşı ne zaman başladı,484,28109,0.0172,1.27
1. dünya savaşı ittifak devletleri,481,19375,0.0248,1.48
polonya haritası,479,25606,0.0187,3.14
hitler kaç kişi öldürdü,474,1583,0.2994,1.84
naziler,472,33138,0.0142,4.9
ötenazi,471,175276,0.0027,6.81
gaz odaları,471,2568,0.1834,1.38
naziler kimdir,468,31119,0.015,5.38
armenian genocide,456,12788,0.0357,3.69
nazi kampı,455,11836,0.0384,2.63
1. dünya savaşı nasıl başladı,454,6370,0.0713,1.17
1915 ermeni olayları,451,3131,0.144,3.1
2. dünya savaşı ne zaman bitti,446,26737,0.0167,1.04
versay antlaşması,444,46443,0.0096,3.75
mengele deneyleri,434,1603,0.2707,1.39
aryan ne demek,432,34067,0.0127,3.38
holokost ne demek,432,33255,0.013,2.93
naziler ne yaptı,410,5913,0.0693,2.68
mihver ve müttefik devletler,405,8462,0.0479,1.03
2. dünya savaşı müttefik devletler,404,7839,0.0515,1.09
2 dünya savaşı,401,26322,0.0152,4.11
hitler'in konuşması metin,395,714,0.5532,1.0
1. dünya savaşı tarihi,392,65807,0.006,4.6
2. dünya savaşında japonya'ya savaş ilan eden ülkeler,391,3834,0.102,1.05
ermeni soykirimi,384,3204,0.1199,3.3
1 dünya savaşı,382,25643,0.0149,5.16
nazi çocuğu ne demek,376,15639,0.024,2.53
adolf eichmann,372,19818,0.0188,3.61
adolf hitler konuşması,372,1916,0.1942,2.55
hitler konuşma metni almanca,368,602,0.6113,1.51
holokost ansiklopedisi,368,506,0.7273,1.0
1915 olayları,367,9397,0.0391,3.07
aryan ırkı,360,16648,0.0216,3.08
2.dünya savaşı ne zaman başladı,358,20753,0.0173,1.19
nazi kampları,351,2361,0.1487,1.99
2. dünya savaşı sonuçları,350,15051,0.0233,4.01
soykırım,343,53676,0.0064,4.36
ittifak ve itilaf devletleri,339,7465,0.0454,1.08
ikinci dünya savaşı nasıl başladı,339,3350,0.1012,1.06
hitler yahudileri neden öldürdü,335,1434,0.2336,1.09
gamalı haç,330,51415,0.0064,4.53
ırkçılık nedir,328,17350,0.0189,5.92
naziler kaç yahudi öldürdü,320,766,0.4178,1.69
nazi kampı nedir,319,6558,0.0486,2.76
yahudi soykırımı,318,12238,0.026,4.95
dünya savaşı,312,86186,0.0036,4.63
ırkçılık,312,12384,0.0252,3.91
2. dünya savaşı nasıl başladı,311,3939,0.079,1.02
soykırım ne demek,308,68038,0.0045,3.33
1.dünya savaşı sonuçları,300,13371,0.0224,4.61
ermeni katliamı,299,3347,0.0893,3.19
yunan haritası,297,3145,0.0944,1.47
1. dünya savaşı başlama nedeni,295,5862,0.0503,1.17
itilaf devletleri hangileridir,289,18539,0.0156,1.14
1. dünya savaşı özet,287,637,0.4505,1.03
ermeni sorunu 1915 olayları ve kurtuluş savaşında ermenilerin faaliyetleri,287,503,0.5706,1.0
osmanlı imparatorluğu haritası,284,20183,0.0141,2.99
i dünya savaşı'nın çıkma sebebi nedir,281,5766,0.0487,1.0
birinci dünya savaşı nasıl başladı,281,3437,0.0818,1.06
aryan,279,29032,0.0096,3.6
hitler'in konuşması almanca metin,279,668,0.4177,2.89
2 dünya savaşı tarihi,269,17847,0.0151,2.8
1.dünya savaşı özet,268,593,0.4519,1.02
kristal gece,267,13309,0.0201,2.01
1920 osmanlı haritası,267,6718,0.0397,1.01
adolf hitler yaptıkları,262,507,0.5168,1.0
adolf hitler sözleri,260,7405,0.0351,5.37
mengele,259,10191,0.0254,3.05
yugoslavya haritası,257,9723,0.0264,1.37
hitler konuşması sözleri,257,411,0.6253,1.36
hitler kaç kişinin ölümüne sebep oldu,255,1607,0.1587,4.44
aryan ırkı nedir,254,5397,0.0471,2.95
1915 olayları özet,253,903,0.2802,1.06
gamalı haç anlamı,245,3484,0.0703,2.82
i dünya savaşı'nın sebebi nedir,244,5376,0.0454,1.17
2.dünya savaşı mihver ve müttefik devletler,244,2354,0.1037,1.03
hitler speech,241,3525,0.0684,5.35
adolf hitler hayatı,241,1612,0.1495,4.38
2. dünya savaşı taraflar,240,9756,0.0246,4.04
martin niemöller,237,1699,0.1395,1.58
nürnberg mahkemesi,236,7161,0.033,2.49
hitler ne kadar yahudi öldürdü,234,501,0.4671,1.87
2.dünya savaşı özet,233,356,0.6545,1.04
gamalı haç nedir,232,3977,0.0583,2.16
antisemitizm,231,24542,0.0094,2.72
hitler ne yaptı,231,7297,0.0317,3.21
anne frank kimdir,229,4768,0.048,4.65
1. dünya savaşının sonuçları,227,10145,0.0224,4.45
hitler'in konuşması sözleri,226,398,0.5678,1.02
hitler'in konuşması almanca,223,1993,0.1119,4.82
itilaf ittifak devletleri,222,5551,0.04,1.23
siyon protokolleri,220,950,0.2316,1.95
2. dünya savaşı mihver devletler,214,3728,0.0574,1.06
adolf hitler konuşma sözleri,214,412,0.5194,1.46
holocaust,213,33535,0.0064,3.69
2 dünya savaşı ne zaman başladı,212,7762,0.0273,1.14
hitler'in konuşması,212,602,0.3522,2.01
nazi toplama kampları,211,3000,0.0703,3.18
yunanistan haritasi,211,2982,0.0708,1.39
i dünya savaşı,210,32500,0.0065,5.72
birinci dünya savaşı tarihi,208,31778,0.0065,4.83
varşova,204,183912,0.0011,8.79
2. dünya savaşı kaç yıl sürdü,204,12976,0.0157,1.11
2. dünya savaşı neden çıktı,202,3432,0.0589,1.07
1. dünya savaşı neden çıktı,201,4806,0.0418,1.1
ikinci dünya savaşı özet,200,318,0.6289,1.0
nazilerin gaz odaları,198,910,0.2176,1.0
hitler ve yahudiler,196,646,0.3034,1.12
ermeni olayları,195,1524,0.128,3.45
adolf hitler speech sözleri,194,286,0.6783,2.07
osmanlı toprakları,193,21073,0.0092,3.24
2.dunya savasi kac yilinda olmustur,190,28686,0.0066,3.45
nazi insan deneyleri,189,394,0.4797,2.14
rudolf höss,188,12192,0.0154,8.11
1. dünya savaşına katılan devletler,187,3547,0.0527,1.0
1900 osmanlı haritası,186,2412,0.0771,1.02
eski osmanlı haritası,183,7554,0.0242,1.02
ermeni kırımı,183,2423,0.0755,3.23
ittifak devletleri,181,144858,0.0012,7.5
1936 berlin olimpiyatları,179,2777,0.0645,2.77
amon goeth,178,18149,0.0098,2.21
auschwitz kampı hikayesi,178,468,0.3803,1.34
holocaust ne demek,177,32976,0.0054,1.93
ermeni sorunu nedir,177,4191,0.0422,5.9
selanik harita,175,6920,0.0253,1.78
2. dünya savaşı kısa özet,175,372,0.4704,1.9
2. dünya savaşı kronolojisi,175,306,0.5719,2.08
aryan ırk ne demek,172,3249,0.0529,2.49
1. dünya savaşı tarafları,172,936,0.1838,1.05
gestapo,171,52161,0.0033,2.92
pogrom nedir,171,23781,0.0072,1.8
1936 olimpiyatları,171,4991,0.0343,1.78
öjeni nedir,171,4722,0.0362,4.64
yunanistan haritası detaylı,171,2803,0.061,1.39
ss ne demek,170,41456,0.0041,3.15
soykırım nedir,170,15131,0.0112,4.14
birkenau cerrahı,170,793,0.2144,2.35
hitlerin konuşması,170,284,0.5986,1.74
mihver devletler hangileridir,168,4146,0.0405,1.35
adolf hitler kaç yahudi öldürdü,167,362,0.4613,1.71
2. dünya savaşı nedenleri,166,16565,0.01,6.61
hitler kaç yahudiyi öldürdü,166,293,0.5666,1.54
nazi bayrağı,162,29054,0.0056,5.91
2. dünya savaşı nasıl bitti,161,1624,0.0991,1.05
yahudiler neden sevilmez,161,505,0.3188,1.07
siyon protokolleri maddeleri,161,323,0.4985,1.0
öjeni,158,5454,0.029,3.28
2. dünya savaşı ittifak devletleri,158,2194,0.072,1.07
1800 osmanlı haritası,158,822,0.1922,1.02
2. dünya savaşında japonyaya savaş ilan eden ülkeler,157,1670,0.094,1.04
dünya savaş haritası,157,462,0.3398,1.48
hitler konuşması almanca metin,155,204,0.7598,1.44
atina harita,154,3078,0.05,1.84
1.dünya savaşı tarafları,154,1212,0.1271,1.06
auschwitz toplama kampı,153,3834,0.0399,2.33
hitler nasıl durduruldu,153,3345,0.0457,2.93
barbarossa harekatı,152,35532,0.0043,5.61
2. dünya savaşı proje ödevi,152,364,0.4176,1.98
boykot,151,68435,0.0022,11.67
yahudiler,151,44118,0.0034,6.68
ermeni soykırımı gerçek mi,151,455,0.3319,1.94
سكس يهودي,151,420,0.3595,6.65
ii dünya savaşı,150,14431,0.0104,5.1
dachau toplama kampı,150,4592,0.0327,2.34
aryan ırk nedir,150,2361,0.0635,3.02
hitler yahudi,150,2177,0.0689,2.0
japonya'ya savaş ilan eden ülkeler,150,1444,0.1039,1.27
auschwitz gaz odaları,149,445,0.3348,1.0
1. dünya savaşı kısa özet,148,428,0.3458,1.09
dr mengele,147,2218,0.0663,2.75
hitler kac yahudi oldurdu,147,238,0.6176,1.71
ermeni meselesi nedir,146,4683,0.0312,8.08
i dünya savaşı'ndaki itilaf devletleri hangileridir,145,6687,0.0217,1.11
almanlar yahudileri neden katletti,145,4628,0.0313,3.98
itilaf devletleri nelerdir,144,9374,0.0154,1.08
oskar schindler kimdir,144,1318,0.1093,2.71
hitler konuşma,144,386,0.3731,2.05
pogrom,142,15958,0.0089,3.32
nürnberg yasaları,142,432,0.3287,1.62
hitler ne kadar insan öldürdü,141,334,0.4222,1.92
2.dünya savaşı sonuçları,140,5308,0.0264,4.21
1915 osmanlı haritası,140,3565,0.0393,1.02
hitler neden yahudileri katletti,140,380,0.3684,1.27
auschwitz kampı nerede,139,3215,0.0432,1.16
siyon protokolleri tam metin,139,271,0.5129,1.01
i dünya savaşı'ndaki ittifak devletleri,138,5962,0.0231,1.02
yahudilerin yakıldığı fırınların adı nedir,138,1974,0.0699,1.2
adolf hitler konuşma metni,138,177,0.7797,1.07
nürnberg mahkemeleri,137,1724,0.0795,2.96
1.dünya savaşı proje ödevi,137,380,0.3605,2.06
semitizm,136,13432,0.0101,2.68
mihver devletleri,134,3894,0.0344,1.05
adolf hitler yahudi,134,1244,0.1077,1.9
birkenau cerrahı vogel,134,278,0.482,1.93
2. dünya savaşı özeti,133,210,0.6333,1.1
1.dünya savaşı ülkeleri,132,2517,0.0524,1.02
hitler kimleri katletti,132,1075,0.1228,2.38
1. dünya savaşı kronolojik sıralaması,132,369,0.3577,2.86
2. dünya savaşı konu anlatımı,132,250,0.528,1.13
ikinci dünya savaşı ne zaman başladı,131,6288,0.0208,1.2
reichstag yangını,131,1671,0.0784,2.95
auschwitz kampı görüntüleri,131,843,0.1554,1.98
1850 osmanlı haritası,131,606,0.2162,1.01
adolf hitler kaç kişi öldürdü,131,207,0.6329,1.49
antisemitism ne demek,130,31497,0.0041,3.77
almanya boykot mu,130,4393,0.0296,2.14
japonya 2. dünya savaşına neden girdi,130,983,0.1322,1.15
1 dünya savaşı tarihi,129,21056,0.0061,4.52
hindenburg,129,14463,0.0089,6.8
1.dünya savaşında ermeni sorunu kısaca,129,424,0.3042,1.7
israil ne zaman kuruldu,127,26403,0.0048,4.82
