Date,Clicks,Impressions,CTR,Position
2024-12-31,9088,344095,0.0264,7.95
2024-12-30,9619,358381,0.0268,8.15
2024-12-29,10412,382688,0.0272,8.18
2024-12-28,10033,378813,0.0265,8.07
2024-12-27,9760,372566,0.0262,8.22
2024-12-26,9640,364151,0.0265,7.66
2024-12-25,8348,345985,0.0241,7.8
2024-12-24,7863,336865,0.0233,8.71
2024-12-23,8494,349336,0.0243,8.5
2024-12-22,8834,370569,0.0238,9.49
2024-12-21,8318,349381,0.0238,8.72
2024-12-20,12191,476572,0.0256,7.76
2024-12-19,19113,681631,0.028,6.9
2024-12-18,23810,829123,0.0287,6.56
2024-12-17,27611,912981,0.0302,6.53
2024-12-16,27770,937390,0.0296,6.62
2024-12-15,15198,498261,0.0305,7.51
2024-12-14,10894,411674,0.0265,8.34
2024-12-13,26631,913310,0.0292,6.6
2024-12-12,33569,1089893,0.0308,6.36
2024-12-11,35070,1123520,0.0312,6.36
2024-12-10,34794,1091513,0.0319,6.33
2024-12-09,33329,1074602,0.031,6.33
2024-12-08,15690,523802,0.03,8.1
2024-12-07,12456,481080,0.0259,8.37
2024-12-06,28672,967563,0.0296,6.51
2024-12-05,32768,1063921,0.0308,6.63
2024-12-04,33674,1065268,0.0316,6.81
2024-12-03,32959,1027534,0.0321,6.27
2024-12-02,29102,939350,0.031,6.42
2024-12-01,14339,459296,0.0312,8.37
2024-11-30,11276,405296,0.0278,8.59
2024-11-29,10654,386992,0.0275,8.89
2024-11-28,9872,376476,0.0262,9.12
2024-11-27,12186,418306,0.0291,8.5
2024-11-26,19070,609961,0.0313,7.57
2024-11-25,22207,702672,0.0316,7.47
2024-11-24,15078,498872,0.0302,8.99
2024-11-23,12348,438442,0.0282,8.99
2024-11-22,25590,861580,0.0297,7.12
2024-11-21,32699,1034823,0.0316,6.71
2024-11-20,33572,1038080,0.0323,6.65
2024-11-19,35400,1055238,0.0335,6.64
2024-11-18,35715,1063185,0.0336,6.66
2024-11-17,18285,548765,0.0333,8.42
2024-11-16,13433,453936,0.0296,8.92
2024-11-15,29816,933717,0.0319,6.85
2024-11-14,35884,1071512,0.0335,6.68
2024-11-13,37502,1058123,0.0354,6.49
2024-11-12,36715,1036337,0.0354,6.66
2024-11-11,28826,892118,0.0323,6.91
2024-11-10,18929,556296,0.034,8.21
2024-11-09,17083,519261,0.0329,8.31
2024-11-08,34589,1062286,0.0326,6.49
2024-11-07,38288,1066953,0.0359,6.63
2024-11-06,42628,1094086,0.039,6.5
2024-11-05,25340,767100,0.033,7.24
2024-11-04,26043,799809,0.0326,7.02
2024-11-03,15180,473944,0.032,8.52
2024-11-02,11938,393426,0.0303,8.91
2024-11-01,21654,668605,0.0324,7.46
2024-10-31,22710,693795,0.0327,6.87
2024-10-30,27828,817497,0.034,6.57
2024-10-29,30859,863408,0.0357,6.68
2024-10-28,31546,881203,0.0358,6.77
2024-10-27,16601,490448,0.0338,8.33
2024-10-26,12117,392508,0.0309,8.77
2024-10-25,23764,727720,0.0327,7.16
2024-10-24,29055,846829,0.0343,7.11
2024-10-23,29922,869415,0.0344,7.33
2024-10-22,26208,813278,0.0322,7.29
2024-10-21,23208,757170,0.0307,7.35
2024-10-20,13233,440866,0.03,9.0
2024-10-19,9861,367271,0.0268,9.29
2024-10-18,19190,616809,0.0311,7.68
2024-10-17,21998,697766,0.0315,7.6
2024-10-16,21717,690860,0.0314,7.69
2024-10-15,22740,695315,0.0327,7.63
2024-10-14,19252,594684,0.0324,7.74
2024-10-13,12284,413812,0.0297,8.98
2024-10-12,9797,359436,0.0273,9.3
2024-10-11,15941,533078,0.0299,7.8
2024-10-10,19747,627972,0.0314,7.74
2024-10-09,19937,646862,0.0308,7.65
2024-10-08,21287,671465,0.0317,7.67
