Top pages,Clicks,Impressions,CTR,Position
https://encyclopedia.ushmm.org/content/en/article/documenting-numbers-of-victims-of-the-holocaust-and-nazi-persecution,305762,2132921,0.1434,2.29
https://encyclopedia.ushmm.org/content/en/article/introduction-to-the-holocaust,122623,5080084,0.0241,4.16
https://encyclopedia.ushmm.org/content/en/article/nazi-camps,112217,1172561,0.0957,4.2
https://encyclopedia.ushmm.org/content/en/article/martin-niemoeller-first-they-came-for-the-socialists,111764,393509,0.284,3.53
https://encyclopedia.ushmm.org/content/en/article/kristallnacht,88934,1175764,0.0756,3.1
https://encyclopedia.ushmm.org/content/en/article/the-nuremberg-race-laws,81106,622212,0.1304,1.84
https://encyclopedia.ushmm.org/content/en/article/the-armenian-genocide-1915-16-overview,74952,908406,0.0825,4.76
https://encyclopedia.ushmm.org/content/en/article/josef-mengele,74526,831546,0.0896,2.61
https://encyclopedia.ushmm.org/content/en/article/world-war-ii-key-dates,67708,10122238,0.0067,4.88
https://encyclopedia.ushmm.org/content/en/article/final-solution-overview,57982,1163467,0.0498,1.85
https://encyclopedia.ushmm.org/content/en/timeline/holocaust,53552,1025661,0.0522,3.11
https://encyclopedia.ushmm.org/,43242,1113339,0.0388,3.99
https://encyclopedia.ushmm.org/content/en/article/hitler-comes-to-power,40103,1293033,0.031,6.15
https://encyclopedia.ushmm.org/content/en/article/aryan-1,39997,1384986,0.0289,4.66
https://encyclopedia.ushmm.org/content/en/article/nazi-propaganda,39626,324255,0.1222,4.27
https://encyclopedia.ushmm.org/content/en/article/ghettos,38025,1452378,0.0262,6.43
https://encyclopedia.ushmm.org/content/en/article/ss,32702,2790956,0.0117,5.18
https://encyclopedia.ushmm.org/content/en/article/dachau,32373,512703,0.0631,4.22
https://encyclopedia.ushmm.org/content/en/article/the-reichstag-fire,29771,440783,0.0675,5.49
https://encyclopedia.ushmm.org/content/en/article/auschwitz,27714,2494983,0.0111,4.74
https://encyclopedia.ushmm.org/content/en/article/history-of-the-swastika,27636,2883069,0.0096,5.9
https://encyclopedia.ushmm.org/content/en/article/axis-powers-in-world-war-ii,26578,1848117,0.0144,4.12
https://encyclopedia.ushmm.org/content/en/article/mein-kampf,24635,1138111,0.0216,5.26
https://encyclopedia.ushmm.org/content/en/article/hitler-youth-2,24495,210831,0.1162,2.52
https://encyclopedia.ushmm.org/content/en/article/the-nazi-rise-to-power,21821,1302675,0.0168,9.37
https://encyclopedia.ushmm.org/content/en/article/book-burning,21249,126914,0.1674,3.19
https://encyclopedia.ushmm.org/content/en/article/nazi-medical-experiments,20772,72426,0.2868,2.09
https://encyclopedia.ushmm.org/content/en/article/gassing-operations,20527,395360,0.0519,5.96
https://encyclopedia.ushmm.org/content/en/article/the-nazi-party-1,20127,1065420,0.0189,7.27
https://encyclopedia.ushmm.org/content/en/article/invasion-of-poland-fall-1939,20022,1102207,0.0182,3.45
https://encyclopedia.ushmm.org/content/en/article/death-marches,19904,141882,0.1403,3.39
https://encyclopedia.ushmm.org/content/en/gallery/concentration-camps-1942-45-maps,18780,142180,0.1321,5.43
https://encyclopedia.ushmm.org/content/en/article/bergen-belsen,18005,164185,0.1097,1.97
https://encyclopedia.ushmm.org/content/en/article/warsaw-ghetto-uprising,17970,220725,0.0814,4.77
https://encyclopedia.ushmm.org/content/en/article/the-night-of-broken-glass,17728,673211,0.0263,6.69
https://encyclopedia.ushmm.org/content/en/article/remaining-jewish-population-of-europe-in-1945,16780,171041,0.0981,5.08
https://encyclopedia.ushmm.org/content/en/article/the-aftermath-of-the-holocaust,16631,96380,0.1726,3.48
https://encyclopedia.ushmm.org/content/en/article/oskar-schindler,16559,629575,0.0263,5.5
https://encyclopedia.ushmm.org/content/en/article/liberation-of-nazi-camps,16272,1182454,0.0138,4.04
https://encyclopedia.ushmm.org/content/en/article/roma-gypsies-in-prewar-europe,15855,1242208,0.0128,6.3
https://encyclopedia.ushmm.org/content/en/article/protocols-of-the-elders-of-zion,15797,137144,0.1152,3.12
https://encyclopedia.ushmm.org/content/en/article/bayer,15516,53958,0.2876,4.13
https://encyclopedia.ushmm.org/content/en/article/wannsee-conference-and-the-final-solution,15347,161052,0.0953,2.62
https://encyclopedia.ushmm.org/content/en/gallery/camp-system-maps,15120,60737,0.2489,4.12
https://encyclopedia.ushmm.org/content/en/article/afro-germans-during-the-holocaust,14223,86092,0.1652,3.66
https://encyclopedia.ushmm.org/content/en/article/voyage-of-the-st-louis,14146,73736,0.1918,2.59
https://encyclopedia.ushmm.org/content/en/timeline-event/holocaust/1939-1941/hitler-speech-to-german-parliament,14083,156212,0.0902,5.35
https://encyclopedia.ushmm.org/content/en/article/the-final-solution,13973,522728,0.0267,3.83
https://encyclopedia.ushmm.org/content/en/gallery/world-war-ii-maps,13863,309928,0.0447,2.04
https://encyclopedia.ushmm.org/content/en/article/jewish-population-of-europe-in-1933-population-data-by-country,13756,46223,0.2976,4.2
https://encyclopedia.ushmm.org/content/en/article/blood-libel,13585,195773,0.0694,2.25
https://encyclopedia.ushmm.org/content/en/map/german-conquests-in-europe-1939-1942,13532,127508,0.1061,4.95
https://encyclopedia.ushmm.org/content/en/article/anne-frank-biography,13494,1756119,0.0077,9.56
https://encyclopedia.ushmm.org/content/en/article/the-nazi-olympics-berlin-1936,13354,337015,0.0396,5.09
https://encyclopedia.ushmm.org/content/en/article/pogroms,13238,950400,0.0139,3.59
https://encyclopedia.ushmm.org/content/en/article/lvov,13068,89940,0.1453,5.36
https://encyclopedia.ushmm.org/content/en/article/darfur,12774,181068,0.0705,5.29
https://encyclopedia.ushmm.org/content/en/article/heinrich-himmler,12076,783055,0.0154,4.65
https://encyclopedia.ushmm.org/content/en/article/antisemitism-in-history-from-the-early-church-to-1400,11986,214452,0.0559,6.88
https://encyclopedia.ushmm.org/content/en/article/nazi-racism,11899,366873,0.0324,5.94
https://encyclopedia.ushmm.org/content/en/article/children-during-the-holocaust,11744,44389,0.2646,2.53
https://encyclopedia.ushmm.org/content/en/article/warsaw,11643,123062,0.0946,5.34
https://encyclopedia.ushmm.org/content/en/article/treblinka,11236,137980,0.0814,2.63
https://encyclopedia.ushmm.org/content/en/article/what-groups-of-people-did-the-nazis-target,11161,1055703,0.0106,4.1
https://encyclopedia.ushmm.org/content/en/article/gestapo,11143,799279,0.0139,4.65
https://encyclopedia.ushmm.org/content/en/article/ravensbrueck,11059,54266,0.2038,2.29
https://encyclopedia.ushmm.org/content/en/article/introduction-to-judaism,11051,1421392,0.0078,6.2
https://encyclopedia.ushmm.org/content/en/article/elie-wiesel,11031,871750,0.0127,9.14
