Top queries,Clicks,Impressions,CTR,Position
how many people died in the holocaust,40678,189593,0.2146,1.02
armenian genocide,37535,447164,0.0839,2.44
holocaust encyclopedia,35664,50277,0.7094,1.0
first they came for,34702,77617,0.4471,1.08
holocaust,33996,1330137,0.0256,1.91
kristallnacht,32597,413799,0.0788,1.87
the holocaust,31190,442328,0.0705,1.65
how many people did hitler kill,28452,144736,0.1966,1.05
concentration camps,26677,207682,0.1285,1.19
nuremberg laws,24507,185290,0.1323,1.18
josef mengele,21299,354403,0.0601,2.55
reichstag fire,17767,157371,0.1129,2.1
how many jews died in the holocaust,14539,206557,0.0704,2.03
kristallnacht definition,13193,183970,0.0717,1.67
nazi propaganda,12334,87106,0.1416,1.02
how many jews did hitler kill,12227,53467,0.2287,1.05
hitler youth,11374,112622,0.101,1.92
auschwitz,11114,836446,0.0133,5.01
how many jews were killed in the holocaust,11060,137803,0.0803,2.03
warsaw ghetto uprising,10908,54381,0.2006,1.37
dachau concentration camp,10086,178994,0.0563,4.13
dr mengele,9736,102049,0.0954,2.03
blood libel,9139,149547,0.0611,1.79
when was the holocaust,8764,226000,0.0388,1.94
how many died in the holocaust,8755,40751,0.2148,1.01
how many people were killed in the holocaust,8200,35910,0.2283,1.05
oskar schindler,7862,358847,0.0219,5.8
dachau,7483,176195,0.0425,4.18
how many people died during the holocaust,7455,32357,0.2304,1.0
how long did the holocaust last,7425,88893,0.0835,1.63
holocaust timeline,7393,26922,0.2746,1.86
mein kampf,7382,584440,0.0126,5.07
lvov poland,7373,23970,0.3076,1.81
aryan race,7360,193118,0.0381,2.85
treblinka,7045,111669,0.0631,2.42
darfur genocide,6943,54947,0.1264,1.83
bergen belsen,6911,54157,0.1276,1.82
the final solution,6590,62514,0.1054,1.58
judaism,6306,839078,0.0075,5.47
how did hitler rise to power,6269,106644,0.0588,3.5
how many jews died in ww2,6087,43071,0.1413,1.58
nuremburg laws,5956,41410,0.1438,1.23
how many concentration camps were there,5752,23652,0.2432,1.02
what were the nuremberg laws,5725,35225,0.1625,1.21
warsaw ghetto,5722,67127,0.0852,2.2
aryan,5701,528498,0.0108,4.89
holocaust death toll,5691,26757,0.2127,1.01
heinrich himmler,5671,368268,0.0154,4.32
ravensbruck,5599,30816,0.1817,1.76
when did ww2 start,5511,844811,0.0065,1.68
first they came for the socialists,5373,10766,0.4991,1.0
wannsee conference,5335,45437,0.1174,1.45
what was the final solution,5304,49110,0.108,1.38
final solution,5302,108639,0.0488,1.55
martin niemoller,5130,36290,0.1414,3.1
nazi medical experiments,5009,14549,0.3443,1.01
kindertransport,4883,35521,0.1375,2.23
protocols of the elders of zion,4873,50824,0.0959,2.08
and then they came for me,4819,10534,0.4575,1.09
night of broken glass,4716,48022,0.0982,1.72
what was the holocaust,4564,195864,0.0233,2.86
what was kristallnacht,4457,39900,0.1117,1.41
when did the holocaust start,4439,183489,0.0242,2.51
death marches,4437,16690,0.2658,1.0
anne frank,4239,1411078,0.003,11.03
einsatzgruppen,4218,68258,0.0618,1.59
hitler youth knife,4207,40560,0.1037,1.27
dr josef mengele,4173,22214,0.1879,1.16
how many people did the nazis kill,4135,14428,0.2866,1.02
ww2 dates,4105,480125,0.0085,2.87
buchenwald,4103,89949,0.0456,4.22
swastika origin,4004,123660,0.0324,3.54
weimar republic,3963,346772,0.0114,3.57
swastika,3745,1410264,0.0027,6.0
sobibor,3721,43399,0.0857,2.55
babi yar,3618,37808,0.0957,2.4
then they came for me,3580,7807,0.4586,1.03
when they came for the jews,3568,6044,0.5903,1.01
mengele,3566,110828,0.0322,2.85
nazi experiments,3552,11426,0.3109,1.09
the armenian genocide,3354,20234,0.1658,1.46
nazi concentration camps,3344,30246,0.1106,1.99
german concentration camps,3304,13819,0.2391,1.12
salonika,3263,24165,0.135,3.11
first they came poem,3220,40696,0.0791,3.56
how many people died in concentration camps,3201,10162,0.315,1.0
how many people did adolf hitler kill,3156,15935,0.1981,1.36
jewish ghettos,3132,17770,0.1763,1.11
where did the holocaust take place,3090,47619,0.0649,2.02
raoul wallenberg,3049,54107,0.0564,4.41
the night of broken glass,3031,23262,0.1303,1.64
holocaust deaths,3011,14555,0.2069,1.05
lvov,2969,35824,0.0829,4.27
father coughlin,2950,52978,0.0557,2.94
how many jews survived the holocaust,2920,18588,0.1571,2.03
how many people died in holocaust,2884,15209,0.1896,1.01
adolf hitler,2882,1852936,0.0016,9.36
bergen-belsen concentration camp,2858,47412,0.0603,1.58
dr. mengele,2824,23005,0.1228,1.82
how did hitler come to power,2789,31256,0.0892,2.96
ww2 timeline,2768,151984,0.0182,5.98
corrie ten boom,2707,251959,0.0107,8.2
what is kristallnacht,2706,23536,0.115,1.44
concentration camps in germany,2686,15306,0.1755,1.63
gestapo,2679,427184,0.0063,5.02
nuremberg race laws,2678,10422,0.257,1.17
blitzkrieg,2667,634390,0.0042,3.67
varian fry,2655,25758,0.1031,3.15
map of concentration camp locations,2651,5587,0.4745,1.02
how many jewish people died in the holocaust,2623,35367,0.0742,1.99
nazi book burning,2598,17258,0.1505,1.7
bayer pharmaceuticals nazi,2588,7645,0.3385,1.02
theresienstadt,2561,22256,0.1151,1.98
what was hitlers final solution,2499,13643,0.1832,1.07
evian conference,2499,12467,0.2004,1.39
auschwitz map,2478,9462,0.2619,1.02
the nuremberg laws,2442,17537,0.1392,1.11
mein kampf summary,2422,9947,0.2435,1.19
bergen-belsen,2411,39385,0.0612,2.16
first they came for the,2411,5264,0.458,1.04
hitler speech,2369,72995,0.0325,5.57
holocaust camps,2365,15681,0.1508,1.04
adolf eichmann,2362,286201,0.0083,5.81
dr. josef mengele,2358,13105,0.1799,1.14
how many people were killed during the holocaust,2311,9575,0.2414,1.04
how many jews died during the holocaust,2304,26468,0.087,1.98
chelmno,2296,19468,0.1179,2.06
holocaust concentration camps,2239,8573,0.2612,1.0
axis powers,2235,450523,0.005,2.48
himmler,2214,271663,0.0081,4.45
pogrom,2194,329393,0.0067,3.72
what did the nuremberg laws do,2194,11655,0.1882,1.05
ghettos,2171,57317,0.0379,2.2
first they came for quote,2160,8690,0.2486,1.82
spanish civil war,2157,308318,0.007,5.01
lebensborn program,2156,7349,0.2934,1.01
leni riefenstahl,2146,125849,0.0171,5.23
reichstag,2136,154606,0.0138,9.15
"what were some of the stages implemented as part of ""the final solution?""",2135,8358,0.2554,1.0
lodz ghetto,2125,11745,0.1809,1.33
kristalnacht,2118,28925,0.0732,2.14
nazi camps,2114,12393,0.1706,1.0
how long was the holocaust,2101,36164,0.0581,1.9
belzec,2095,16839,0.1244,1.94
map of auschwitz,2090,5597,0.3734,1.0
what books did the nazis burn,2089,12892,0.162,1.68
holocaust death count,2080,9401,0.2213,1.06
armenia genocide,2078,18690,0.1112,2.46
world war 2 dates,2065,289860,0.0071,3.23
holocaust summary,2054,11027,0.1863,1.34
reinhard heydrich,2008,161310,0.0124,5.07
world war 2 timeline,2003,79141,0.0253,4.24
final solution ww2,2002,13934,0.1437,1.01
who were the nazis,1999,16047,0.1246,1.71
why did the germans force the evacuation of many of the concentration camps?,1998,7083,0.2821,1.07
"what happened with the ghettos after the implementation of the ""final  solution"" in 1941?",1985,6329,0.3136,1.08
first they came for the communists,1976,28553,0.0692,3.5
when did world war 2 start,1968,289806,0.0068,1.88
elie wiesel,1965,531556,0.0037,10.54
sudetenland map,1963,6789,0.2891,1.0
lebensborn,1947,45061,0.0432,3.98
night of the broken glass,1941,16473,0.1178,1.64
russian revolution,1938,377625,0.0051,6.24
they came for me,1935,3283,0.5894,1.02
1936 olympics,1934,132630,0.0146,5.55
nazi ss,1918,60843,0.0315,2.19
sonderkommando,1912,47044,0.0406,2.23
operation reinhard,1910,11785,0.1621,1.55
they came for the jews,1907,8250,0.2312,2.09
sobibor escape,1884,8210,0.2295,3.22
timeline of ww2,1865,25957,0.0718,2.88
ms st louis,1841,15481,0.1189,1.42
pogrom meaning,1835,181075,0.0101,3.31
magnus hirschfeld,1834,65108,0.0282,4.33
lebensraum,1829,169677,0.0108,3.69
janusz korczak,1821,19217,0.0948,3.99
how were ghettos used just before and during wwii?,1814,8535,0.2125,1.01
wwii dates,1806,146902,0.0123,2.57
bolshevik revolution,1805,250986,0.0072,5.02
hitler,1803,2110178,0.0009,9.51
buchenwald concentration camp,1803,10956,0.1646,2.01
when they came for me poem,1803,9903,0.1821,2.26
nuremberg trials,1798,274625,0.0065,7.51
holocaust meaning,1794,507186,0.0035,6.68
enabling act,1788,72465,0.0247,1.8
ss,1781,1892612,0.0009,6.04
